account_id,company_name,industry,employee_count,annual_revenue,founded_year,headquarters,website,description
445001,Zermatt Analytics,Healthcare,1315,78758709.30500798,2010,"Boston, MA",https://www.zermattanalytics.com,VP Product and key champion departed Jan 2026. New head favors competing platform. DAU crashed from 72% to 28%. No executive contact in 60+ days.
445002,Eiger Cloud Services,Telecommunications,1417,80784451.7493839,2010,"New York, NY",https://www.eigercloudservices.com,Feature adoption breadth collapsed after platform migration. Support tickets surged 3x. Customer sentiment trending negative.
445003,Jungfrau Fintech,Financial Services,1357,38558609.39541399,2006,"Austin, TX",https://www.jungfraufintech.com,CFO mandated 20% SaaS spend reduction. Platform under review. Login frequency dropped sharply as team explores alternatives.
445004,Matterhorn Digital,Financial Services,4806,78970641.05094622,2016,"New York, NY",https://www.matterhorndigital.com,Key accounts evaluating competitor after product launch gap. Engagement declining but not critical. Need proactive value reinforcement.
445005,Bernina Health Systems,AI/ML,1780,84277884.8768012,2015,"Austin, TX",https://www.berninahealthsystems.com,Implementation stalled at 60% completion. Time-to-first-value exceeding target by 3x. Customer patience wearing thin.
445006,Pilatus Enterprise,Healthcare,1311,58632182.25903804,2010,"Boston, MA",https://www.pilatusenterprise.com,"Gradual engagement decline over 3 months. NPS neutral, no clear trigger. Classic silent churn pattern."
445007,Grindelwald Commerce,Technology,2570,92151897.23172785,2017,"Seattle, WA",https://www.grindelwaldcommerce.com,Strong adoption and growing. Multi-department expansion underway. Champion driving internal advocacy.
445008,Davos Security,Cloud Infrastructure,1290,87018978.99132249,2009,"San Francisco, CA",https://www.davossecurity.com,"Reliable account with consistent engagement. Low-touch, self-sufficient. Minor expansion potential."
445009,Lucerne Media,AI/ML,4574,38879917.79568621,2014,"Seattle, WA",https://www.lucernemedia.com,Stable media technology account. Good feature adoption. Consistent engagement patterns.
445010,Interlaken Logistics,AI/ML,2474,54011937.49861797,2019,"Austin, TX",https://www.interlakenlogistics.com,Growing account with expanding use cases. Supply chain visibility driving adoption across departments.
445011,Montreux EdTech,Telecommunications,1020,38991099.202695295,2006,"New York, NY",https://www.montreuxedtech.com,"Solid education technology account. Steady usage, positive sentiment, no immediate risks."
445012,Verbier Pharma,Technology,4613,26939452.43240457,2017,"Boston, MA",https://www.verbierpharma.com,High-compliance pharma account. Excellent data governance adoption. Low-touch relationship.
445013,St. Moritz Retail,Cloud Infrastructure,1905,25902258.07181032,2015,"San Francisco, CA",https://www.st.moritzretail.com,Luxury retail technology account. Strong POS integration adoption. Seasonal usage patterns.
445014,Lausanne Insurance,AI/ML,1698,28372316.78762098,2013,"New York, NY",https://www.lausanneinsurance.com,InsurTech account with strong claims automation adoption. Regulatory compliance driving platform stickiness.
445015,Geneva Legal Tech,Technology,284,24844750.383566055,2019,"Denver, CO",https://www.genevalegaltech.com,Legal technology firm with excellent document automation adoption. High knowledge base usage.
445016,Bern Healthcare AI,AI/ML,815,17466166.709861163,2020,"Austin, TX",https://www.bernhealthcareai.com,Healthcare AI startup with strong product-led growth. High DAU and feature adoption.
445017,Basel Biotech Platform,Technology,4290,24214715.5292477,2016,"Seattle, WA",https://www.baselbiotechplatform.com,Biotech data platform with excellent compliance scores. Small but growing account.
445018,Zurich FinOps,Telecommunications,1311,13355295.78708824,2016,"Seattle, WA",https://www.zurichfinops.com,Small FinOps startup. High engagement per seat. Growing organically through word of mouth.
