week_number,milestone_date,milestone_type,milestone_outcome,leading_indicators,arr_impact,confidence_at_time,primary_drivers,signal_breakdown
18,2024-04-29,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 44.72', 'Strategic alignment: 61.07']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
18,2024-04-29,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 44.72', 'Strategic alignment: 61.07']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
20,2024-05-13,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 45.95', 'Strategic alignment: 59.52']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
25,2024-06-17,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 39.08', 'Strategic alignment: 46.72']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
27,2024-07-01,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 51.93', 'Strategic alignment: 60.98']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
31,2024-07-29,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 99.32', 'Strategic alignment: 100']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
36,2024-09-02,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 98.85', 'Strategic alignment: 100']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
36,2024-09-02,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 98.85', 'Strategic alignment: 100']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
37,2024-09-09,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 99.32', 'Strategic alignment: 95.13']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
43,2024-10-21,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 90.13', 'Strategic alignment: 100']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
51,2024-12-16,expansion_budget_approved,budget_secured,"['CFO approved expansion budget', 'Executive engagement: 94.66', 'Strategic alignment: 92.23']",5000000,0.9,"[{'driver': 'Executive buy-in', 'weight': 0.45}, {'driver': 'Business value demonstrated', 'weight': 0.35}, {'driver': 'Budget available', 'weight': 0.2}]",
