signal_id,account_id,signal_date,signal_type,content,sentiment,sentiment_score
sig_296001_0001,296001,2024-01-11,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.53
sig_296001_0002,296001,2024-01-11,customer_feedback,Champion Sarah Johnson confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.72
sig_296001_0003,296001,2024-02-19,customer_feedback,Champion Sarah Johnson confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.66
sig_296001_0004,296001,2024-02-19,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.89
sig_296001_0005,296001,2024-02-19,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.51
sig_296001_0006,296001,2024-03-05,health_check,"Proactive health review: RMA rates declining, PUE improving toward target.",positive,0.53
sig_296001_0007,296001,2024-03-05,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.68
sig_296001_0008,296001,2024-04-03,incident,Minor network latency spike detected; auto-resolved within 15 minutes. No customer impact.,neutral,0.19
sig_296001_0009,296001,2024-04-03,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.61
sig_296001_0010,296001,2024-04-03,health_check,"Proactive health review: RMA rates declining, PUE improving toward target.",positive,0.56
sig_296001_0011,296001,2024-05-16,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.65
sig_296001_0012,296001,2024-05-16,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.52
sig_296001_0013,296001,2024-05-16,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.49
sig_296001_0014,296001,2024-06-10,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.52
sig_296001_0015,296001,2024-06-10,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.51
sig_296001_0016,296001,2024-06-10,meeting,Expansion discussion: customer evaluating additional rack capacity for Q2 growth.,positive,0.55
sig_296001_0017,296001,2024-07-04,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.79
sig_296001_0018,296001,2024-07-04,meeting,Expansion discussion: customer evaluating additional rack capacity for Q3 growth.,positive,0.77
