account_id,product_id,product_name,quantity,adoption_date,status,usage_level,utilization_percent,monthly_spend,satisfaction_score,primary_product,expansion_potential,churn_risk,last_usage_date,feature_adoption_rate,notes
10001,PRD-001,GPU Cloud - H100,512,2024-01-15,Active,Heavy,75.0,2304000,9.5,True,High,Very Low,2024-12-31,92,Primary workload - LLM training. Expanded from 256 to 512 GPUs.
10001,PRD-003,Premium Support,512,2024-01-15,Active,Active,,102400,9.2,False,Low,Very Low,2024-12-31,100,Premium support tier. Excellent satisfaction.
10001,PRD-005,AI Platform Suite,512,2024-03-15,Active,Heavy,,153600,8.8,False,Medium,Very Low,2024-12-31,88,Added Q1. Full MLOps adoption.
10002,PRD-002,GPU Cloud - A100,128,2024-01-10,Active,Medium,65.0,358400,8.0,True,Medium,Medium,2024-12-31,75,Financial trading models. Health recovered from Q2 dip.
10002,PRD-003,Premium Support,128,2024-05-15,Active,Active,,25600,8.5,False,Low,Medium,2024-12-31,100,Added during recovery phase (May). Helping stabilize.
10003,PRD-002,GPU Cloud - A100,0,2024-01-08,Churned,Low,35.0,0,3.5,True,None,Churned,2024-05-31,35,CHURNED May 2024. Never adopted premium features. Low utilization throughout.
10004,PRD-001,GPU Cloud - H100,320,2024-02-01,Active,Heavy,82.0,1440000,9.2,True,Very High,Very Low,2024-12-31,95,Medical imaging AI. Rapid growth. Expanded twice (128→320 GPUs).
10004,PRD-003,Premium Support,320,2024-02-01,Active,Active,,64000,9.5,False,Low,Very Low,2024-12-31,100,HIPAA compliance requirements.
10004,PRD-005,AI Platform Suite,320,2024-03-01,Active,Heavy,,96000,9.0,False,Medium,Very Low,2024-12-31,92,Full MLOps for medical AI pipelines.
10004,PRD-006,Managed Services,320,2024-06-01,Active,Active,,128000,9.3,False,Low,Very Low,2024-12-31,100,Added at expansion. Healthcare focus on core competency.
10005,PRD-002,GPU Cloud - A100,192,2024-01-05,Active,Medium,68.0,537600,8.5,True,Medium,Low,2024-12-31,88,Banking fraud detection. Steady usage.
10005,PRD-003,Premium Support,192,2024-01-05,Active,Active,,38400,8.8,False,Low,Low,2024-12-31,100,Banking compliance requirements.
10006,PRD-002,GPU Cloud - A100,64,2024-01-12,Active,Low,42.0,179200,6.0,True,Very Low,High,2024-12-31,52,Media streaming recommendations. Low adoption. At risk.
10007,PRD-002,GPU Cloud - A100,160,2024-01-20,Active,Heavy,75.0,448000,8.8,True,High,Very Low,2024-12-31,90,Robotics AI. Crisis in Feb recovered. Expanded Oct (128→160 GPUs).
10007,PRD-003,Premium Support,160,2024-02-03,Active,Active,,32000,9.0,False,Low,Very Low,2024-12-31,100,Added DURING CRISIS (Day 1). Critical for recovery.
10007,PRD-005,AI Platform Suite,160,2024-07-15,Active,Medium,,48000,8.5,False,Medium,Very Low,2024-12-31,82,Added post-recovery. Robotics MLOps.
10008,PRD-001,GPU Cloud - H100,384,2024-01-18,Active,Heavy,80.0,1728000,9.3,True,Very High,Very Low,2024-12-31,94,Autonomous vehicles. Expanded twice (256→384 GPUs).
10008,PRD-003,Premium Support,384,2024-01-18,Active,Active,,76800,9.2,False,Low,Very Low,2024-12-31,100,Mission-critical autonomous driving workloads.
10008,PRD-004,Multi-Datacenter,384,2024-03-01,Active,Active,,192000,9.0,False,Low,Very Low,2024-12-31,100,Multi-region (Silicon Valley + Seattle). Disaster recovery.
10008,PRD-005,AI Platform Suite,384,2024-01-18,Active,Heavy,,115200,9.1,False,Medium,Very Low,2024-12-31,90,Full autonomous vehicle AI development platform.
10008,PRD-006,Managed Services,384,2024-06-01,Active,Active,,153600,9.4,False,Low,Very Low,2024-12-31,100,"Full white-glove service. Focus on autonomous driving, not infrastructure."
10009,PRD-002,GPU Cloud - A100,48,2024-01-22,Active,Low,38.0,134400,6.5,True,Very Low,High,2024-12-31,48,Retail AI. Budget cuts. Minimal adoption. At risk.
10010,PRD-002,GPU Cloud - A100,160,2024-01-25,Active,Medium,70.0,448000,8.2,True,Medium,Medium,2024-12-31,82,"Biotech drug discovery. Champion transitioned Q3, recovering."
10010,PRD-005,AI Platform Suite,160,2024-03-01,Active,Medium,,48000,8.0,False,Medium,Medium,2024-12-31,75,Life sciences MLOps. New champion still ramping.
