account_id,company_name,industry,employee_count,annual_revenue,founded_year,headquarters,website,description
436001,Titan Hyperscale Labs,Healthcare,2167,55258356.97600782,2017,"Chicago, IL",https://www.titanhyperscalelabs.com,VP of Infrastructure (key champion) departed in Jan 2026. Successor favors competitor. GPU utilization dropped 40% post-departure. No QBR since Nov 2025.
436002,Meridian Cloud Services,Technology,4315,86216453.62403221,2022,"Seattle, WA",https://www.meridiancloudservices.com,Hardware reliability degrading. RMA rate doubled in Q1 2026. Three Sev-1 incidents in 6 weeks. MTBF dropped below threshold. Customer escalated to CTO.
436003,Apex Compute Holdings,Technology,3485,32036326.295763418,2016,"Boston, MA",https://www.apexcomputeholdings.com,FY26 budget frozen after Q4 earnings miss. Planned $2M expansion cancelled. Downsizing from 200 to 150 GPU nodes. CFO driving cost reduction.
436004,Pacific Data Systems,Telecommunications,4183,75598993.18292049,2006,"New York, NY",https://www.pacificdatasystems.com,GPU utilization declining gradually. Training job completion rate dropping. Early signs of workload migration but champion still engaged.
436005,Quantum Edge Networks,AI/ML,2287,33432952.48443215,2014,"Seattle, WA",https://www.quantumedgenetworks.com,No QBR in 90 days. Champion went silent after org restructure. Partner engagement score declining. Renewal in 2 months with no renewal discussion started.
436006,Stratos AI Infrastructure,Technology,4070,17385733.237199835,2012,"Denver, CO",https://www.stratosaiinfrastructure.com,At 90% capacity utilization but no expansion signals. Budget discussions stalled. Technical team wants to expand but finance blocked.
436007,CyberVault DC,Healthcare,1397,38461496.804616146,2022,"Seattle, WA",https://www.cybervaultdc.com,Was critical (health=41) in Dec 2025. Playbook PB-02 ran in Jan. Dedicated CSM assigned. Health recovering but not yet stable.
436008,Atlas Computing Group,Financial Services,863,101407671.1637343,2008,"Seattle, WA",https://www.atlascomputinggroup.com,"Solid account. Steady utilization, good partner engagement. No major issues. Renewal expected to be straightforward."
436009,Pinnacle Systems,Telecommunications,1062,66432160.904827364,2020,"Denver, CO",https://www.pinnaclesystems.com,Adding new AI use cases. Training job volume up 20% QoQ. Exploring inference workloads.
436010,Helix Data Corp,AI/ML,2490,40511053.567108296,2018,"Chicago, IL",https://www.helixdatacorp.com,Strong partner engagement. Regular QBRs. Good channel relationship.
436011,Fortress Colocation,Cloud Infrastructure,4052,29430276.209832057,2022,"New York, NY",https://www.fortresscolocation.com,"Budget signals positive. Capacity at 75%, growing. New AI initiative launching in Q3."
436012,NexGen AI Labs,Financial Services,3242,39538846.72284419,2021,"Denver, CO",https://www.nexgenailabs.com,High GPU utilization. Strong training job success. Power user of the platform.
436013,Redline Infrastructure,Technology,1218,16458679.876195107,2018,"Austin, TX",https://www.redlineinfrastructure.com,"Excellent hardware reliability. Low RMA, high MTBF. Minimal support needs."
436014,Cumulus Edge Computing,Healthcare,4259,25962363.146675516,2014,"Denver, CO",https://www.cumulusedgecomputing.com,Workload diversity increasing. Adding edge inference workloads. Growth potential.
436015,SkyBridge Networks,AI/ML,2545,16438620.909901274,2020,"Chicago, IL",https://www.skybridgenetworks.com,All pillars green. Model customer. Potential reference account.
436016,IronClad Systems,Cloud Infrastructure,1317,24849546.4645604,2016,"Austin, TX",https://www.ironcladsystems.com,Top performer. Willing to do case studies. Already renewed early last year.
436017,TerraScale Solutions,AI/ML,4621,17053041.301133264,2015,"Chicago, IL",https://www.terrascalesolutions.com,Just expanded 30% in Feb 2026. Added 40 GPU nodes. Now ramping new workloads.
436018,Velocity AI Compute,Telecommunications,1645,9440291.478743114,2017,"New York, NY",https://www.velocityaicompute.com,Onboarded Jan 2026. Fastest TTFV in portfolio (3 days). Already at 65% GPU utilization. High growth potential.
