kpi_code,kpi_name,pillar,pillar_weight,kpi_weight_in_pillar,indicator_type,predictive_horizon_days,confidence_level,direction,source_review,data_source_system,data_collection_method,impact_level,measurement_frequency,range_type,range_min,range_max,target_value,target_operator,unit,range_critical_min,range_critical_max,state_at_risk_min,state_at_risk_max,range_healthy_min,range_healthy_max,range_optimal_min,range_optimal_max,business_impact
DV-KPI1,Time to First Workload (TTFV),P1_Deployment_Velocity,0.1,0.25,leading,90,0.82,lower_better,CSR,CS Pulse deployment tracker,Automated milestone tracking from contract signature to first workload,High,Per Customer,days,0,60,14.0,<=,days,30.0,60.0,20.0,29.0,0.0,19.0,0.0,14.0,"Faster deployment = earlier revenue recognition, better customer experience"
DV-KPI2,Onboarding Completion Rate,P1_Deployment_Velocity,0.1,0.2,leading,60,0.85,higher_better,CSR,CS Pulse onboarding checklist,Automated checklist completion tracking via CS Pulse portal,High,Monthly,percentage,0,100,90.0,>=,%,0.0,70.0,71.0,89.0,90.0,100.0,95.0,100.0,"Low completion indicates deployment issues, delays time-to-value"
DV-KPI3,Infrastructure Provisioning Speed,P1_Deployment_Velocity,0.1,0.2,leading,45,0.88,lower_better,OBR,Infrastructure automation logs (Terraform/Ansible),Automated tracking from order placement to GPUs operational,High,Per Deployment,days,0,30,5.0,<=,days,15.0,30.0,10.0,14.0,0.0,9.0,0.0,5.0,"Slow provisioning delays projects, impacts customer satisfaction"
DV-KPI4,Configuration Success Rate,P1_Deployment_Velocity,0.1,0.15,leading,30,0.8,higher_better,CSR,Deployment automation system (Ansible/Chef),Automated success/failure tracking per configuration run,Medium,Per Deployment,percentage,0,100,95.0,>=,%,0.0,85.0,86.0,94.0,95.0,100.0,98.0,100.0,"Configuration failures delay deployment, require rework"
DV-KPI5,Training Completion Time,P1_Deployment_Velocity,0.1,0.1,leading,60,0.78,lower_better,CSR,Learning management system (LMS),Automated course completion tracking via LMS API,Medium,Per Customer,days,0,45,10.0,<=,days,21.0,45.0,14.0,20.0,0.0,13.0,0.0,10.0,"Delayed training slows adoption, impacts utilization"
DV-KPI6,Time to Production,P1_Deployment_Velocity,0.1,0.1,leading,75,0.84,lower_better,CSR,CS Pulse production milestone tracker,Automated tracking from deployment to first production workload,High,Per Customer,days,0,90,21.0,<=,days,45.0,90.0,30.0,44.0,0.0,29.0,0.0,21.0,Production delay impacts revenue realization and customer value
OS-KPI1,System Uptime,P2_Operational_Stability,0.3,0.3,lagging,0,0.95,higher_better,OBR,GPU cluster monitoring system (Prometheus/Grafana),"24/7 automated monitoring, 1-minute resolution",Critical,Daily,percentage,0,100,99.5,>=,%,0.0,97.0,97.1,99.0,99.1,100.0,99.5,100.0,"Downtime stops production, impacts revenue and customer satisfaction critically"
OS-KPI2,Mean Time Between Failures (MTBF),P2_Operational_Stability,0.3,0.2,lagging,0,0.88,higher_better,OBR,Hardware failure tracking system,"Automated incident logging, time-series calculation",High,Daily,hours,0,10000,720.0,>=,hours,0.0,360.0,361.0,719.0,720.0,10000.0,1440.0,10000.0,"Frequent failures increase RMA costs, disrupt workloads"
OS-KPI3,Mean Time To Recovery (MTTR),P2_Operational_Stability,0.3,0.2,lagging,0,0.9,lower_better,SBR,Incident management system (ServiceNow/Jira),Automated incident resolution time tracking,High,Daily,hours,0,72,2.0,<=,hours,8.0,72.0,4.0,7.0,0.0,3.0,0.0,2.0,"Long recovery time extends downtime impact, increases cost"
OS-KPI4,Incident Count,P2_Operational_Stability,0.3,0.1,lagging,0,0.85,lower_better,SBR,Support ticketing system (Zendesk/Jira),Automated ticket counting by severity level,High,Weekly,count,0,100,5.0,<=,incidents/month,15.0,100.0,10.0,14.0,0.0,9.0,0.0,5.0,High incident volume indicates systemic issues
