account_id,outcome_id,outcome_date,title,outcome_type,revenue_value,evidence,confidence,related_decision_id,source_platform
304001,out_expansion_deal,2026-01-16,$5.2M Expansion Deal Closed,expansion,5248238.21,Signed PO for 128 additional GPUs (4 racks). Direct result of champion-driven growth enabled by CSM capacity analysis and ROI documentation.,1.0,,csv_import
304001,out_arr_growth,2026-02-26,ARR Growth from $2.4M to $7.6M,expansion,5974745.08,Account ARR increased 217% over 36 weeks. Expansion hardware fully deployed and operational by week 36.,0.95,,csv_import
304001,out_churn_averted,2025-12-05,Competitive Displacement Risk Averted,churn_averted,2278169.73,"During capacity crunch, Infrastructure Director evaluated cloud GPU alternatives. CSM's interim optimization and expansion proposal prevented migration of workloads to competitor infrastructure.",0.8,,csv_import
304001,out_cs_roi,2026-02-26,35x ROI on CS Engagement Investment,expansion,4704800.94,"Total CS intervention cost: $148,000 (solutions architect, field engineers, ROI analysis, optimization, deployment). Net revenue generated: $5,052,000. ROI: 3,414%.",0.9,,csv_import
304002,out_expansion_deal,2026-01-14,$5.2M Expansion Deal Closed,expansion,4779639.34,Signed PO for 128 additional GPUs (4 racks). Direct result of champion-driven growth enabled by CSM capacity analysis and ROI documentation.,1.0,,csv_import
304002,out_arr_growth,2026-02-24,ARR Growth from $2.4M to $7.6M,expansion,4912254.79,Account ARR increased 217% over 36 weeks. Expansion hardware fully deployed and operational by week 36.,0.95,,csv_import
304002,out_churn_averted,2025-12-05,Competitive Displacement Risk Averted,churn_averted,2724631.84,"During capacity crunch, Infrastructure Director evaluated cloud GPU alternatives. CSM's interim optimization and expansion proposal prevented migration of workloads to competitor infrastructure.",0.8,,csv_import
304002,out_cs_roi,2026-02-24,35x ROI on CS Engagement Investment,expansion,4584499.5,"Total CS intervention cost: $148,000 (solutions architect, field engineers, ROI analysis, optimization, deployment). Net revenue generated: $5,052,000. ROI: 3,414%.",0.9,,csv_import
304003,out_expansion_deal,2026-01-15,$5.2M Expansion Deal Closed,expansion,4851339.42,Signed PO for 128 additional GPUs (4 racks). Direct result of champion-driven growth enabled by CSM capacity analysis and ROI documentation.,1.0,,csv_import
304003,out_arr_growth,2026-02-27,ARR Growth from $2.4M to $7.6M,expansion,5943506.96,Account ARR increased 217% over 36 weeks. Expansion hardware fully deployed and operational by week 36.,0.95,,csv_import
304003,out_churn_averted,2025-12-05,Competitive Displacement Risk Averted,churn_averted,2469689.33,"During capacity crunch, Infrastructure Director evaluated cloud GPU alternatives. CSM's interim optimization and expansion proposal prevented migration of workloads to competitor infrastructure.",0.8,,csv_import
304003,out_cs_roi,2026-02-23,35x ROI on CS Engagement Investment,expansion,5556131.55,"Total CS intervention cost: $148,000 (solutions architect, field engineers, ROI analysis, optimization, deployment). Net revenue generated: $5,052,000. ROI: 3,414%.",0.9,,csv_import
304004,out_expansion_deal,2026-01-14,$5.2M Expansion Deal Closed,expansion,4774873.74,Signed PO for 128 additional GPUs (4 racks). Direct result of champion-driven growth enabled by CSM capacity analysis and ROI documentation.,1.0,,csv_import
304004,out_arr_growth,2026-02-24,ARR Growth from $2.4M to $7.6M,expansion,4891537.44,Account ARR increased 217% over 36 weeks. Expansion hardware fully deployed and operational by week 36.,0.95,,csv_import
304004,out_churn_averted,2025-12-05,Competitive Displacement Risk Averted,churn_averted,2131139.73,"During capacity crunch, Infrastructure Director evaluated cloud GPU alternatives. CSM's interim optimization and expansion proposal prevented migration of workloads to competitor infrastructure.",0.8,,csv_import
