account_id,account_name,date,signal_type,from_contact,to_contact,summary,sentiment
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-01-02,escalation,Customer Team,Michael Rodriguez,Escalation from operations team regarding performance,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-01-12,meeting,Customer Team,Michael Rodriguez,Concerns about cooling efficiency raised,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-01-09,email,Customer Team,Michael Rodriguez,Escalation from operations team regarding performance,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-01-14,email,Dr. Brown,Michael Rodriguez,Project milestone delayed due to resource constraints,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-01-18,meeting,Customer Team,Michael Rodriguez,Integration challenges with existing systems,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-01-08,email,Customer Team,Michael Rodriguez,Unexpected system downtime reported,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-01-02,meeting,Customer Team,Michael Rodriguez,Project milestone delayed due to resource constraints,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-01-12,meeting,Dr. Brown,Michael Rodriguez,Monthly business review conducted,neutral
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-02-11,email,Dr. Brown,Michael Rodriguez,Early adoption of new AI acceleration features,positive
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-02-21,meeting,Dr. Brown,Michael Rodriguez,Unexpected system downtime reported,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-01-31,email,Customer Team,Michael Rodriguez,Early adoption of new AI acceleration features,positive
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-02-04,email,Customer Team,Michael Rodriguez,Quarterly capacity planning review,neutral
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-02-23,meeting,Dr. Brown,Michael Rodriguez,Budget concerns raised during planning meeting,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-02-11,meeting,Dr. Brown,Michael Rodriguez,Security compliance audit findings,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-02-23,email,Dr. Brown,Michael Rodriguez,Budget concerns raised during planning meeting,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-02-24,email,Customer Team,Michael Rodriguez,Scheduled maintenance window executed,neutral
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-03-23,email,Customer Team,Michael Rodriguez,Exceeded performance benchmarks this quarter,positive
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-03-11,email,Dr. Brown,Michael Rodriguez,Project milestone delayed due to resource constraints,negative
43001,E2E Full Test Corporation 1769027805 - Datacenter East,2024-03-17,email,Dr. Brown,Michael Rodriguez,Documentation review and updates,neutral
