account_id,customer_id,account_name,account_type,industry,account_tier,initial_arr,final_arr,contract_start_date,contract_end_date,partner_id,partner_name,partner_tier,gpu_count,datacenter_location,csm_assigned,executive_sponsor,journey_type,outcome,has_narrative
17001,17,AI Compute Corp,Near-Miss Recovery,AI/ML Research,Enterprise,2382942,3282312,2024-01-22,2025-01-21,P002,CloudScale Partners,Tier 1,320,US-West (Oregon),Sarah Chen,VP Customer Success,recovery,37.7% growth,True
17002,17,CloudScale Dynamics,Expansion Play,Media & Entertainment,Mid-Market,4633913,6597379,2024-01-28,2025-01-27,P003,DataCenter Pros,Tier 2,96,US-West (California),Emily Rodriguez,,strategic_expansion,42.4% growth,True
17003,17,DataForge Systems,Expansion Play,Retail,Enterprise,5127655,7124481,2024-01-07,2025-01-06,P003,DataCenter Pros,Tier 2,256,US-East (Virginia),Sarah Chen,CRO,strategic_expansion,38.9% growth,True
17004,17,NeuralNet Industries,Expansion Play,Biotechnology,Enterprise,4451866,6342139,2024-01-25,2025-01-24,P002,CloudScale Partners,Tier 1,384,US-West (California),Sarah Chen,VP Customer Success,strategic_expansion,42.5% growth,True
17005,17,QuantumCloud Solutions,Rocket Ship,Biotechnology,Enterprise,1958298,5630744,2024-01-06,2025-01-05,P002,CloudScale Partners,Tier 1,320,US-West (Los Angeles),David Park,,rapid_growth,187.5% growth,True
17006,17,SecureAI Labs,Rocket Ship,Biotechnology,Enterprise,5694162,12428293,2024-01-06,2025-01-05,P003,DataCenter Pros,Tier 2,256,US-Central (Chicago),Sarah Chen,VP Engineering,rapid_growth,118.3% growth,False
17007,17,TechVantage Data,Expansion Play,AI/ML Research,Mid-Market,5819318,8090042,2024-01-06,2025-01-05,P002,CloudScale Partners,Tier 1,384,US-West (California),David Park,CRO,strategic_expansion,39.0% growth,False
17008,17,InnovateCompute Inc,Steady Performer,Autonomous Vehicles,Mid-Market,5451565,6054073,2024-01-23,2025-01-22,P002,CloudScale Partners,Tier 1,128,US-East (New York),Marcus Johnson,CRO,stable,11.1% growth,False
17009,17,SmartData Enterprises,Steady Performer,Financial Services,Enterprise,5329881,5961038,2024-01-24,2025-01-23,P004,Quantum Resellers,Tier 2,64,US-East (Virginia),Sarah Chen,CRO,stable,11.8% growth,False
17010,17,FutureCompute Systems,Strategic Expansion,Manufacturing/Robotics,Mid-Market,4697140,7649322,2024-01-05,2025-01-04,P001,TechSolutions Inc,Strategic,320,US-West (Oregon),Marcus Johnson,,strategic_expansion,62.9% growth,True
