week_number,date,phase,event_type,description,sentiment,sentiment_value,health_score_before,health_score_after,outcome,csm_action_type,csm_action_desc,csm_response_hours,csm_cost
1,2024-01-01,moderate,support_ticket,Support ticket: 'Too complex to use' - Adoption issues,negative,-0.4,70,68.52,"Red flags missed, no intervention",,,,
1,2024-01-01,moderate,meeting,Marginal QBR scores - Low engagement detected,neutral,0.1,70,68.52,"Red flags missed, no intervention",,,,
1,2024-01-01,moderate,meeting,Marginal QBR scores - Low engagement detected,neutral,0.1,70,68.52,"Red flags missed, no intervention",,,,
2,2024-01-08,moderate,support_ticket,Support ticket: 'Too complex to use' - Adoption issues,negative,-0.4,68.52,67.08,"Red flags missed, no intervention",,,,
2,2024-01-08,moderate,meeting,Marginal QBR scores - Low engagement detected,neutral,0.1,68.52,67.08,"Red flags missed, no intervention",,,,
3,2024-01-15,moderate,email,Usage at 45% (expected 80%) - Critical red flag,negative,-0.3,67.08,65.68,"Red flags missed, no intervention",,,,
3,2024-01-15,moderate,meeting,Marginal QBR scores - Low engagement detected,neutral,0.1,67.08,65.68,"Red flags missed, no intervention",,,,
4,2024-01-22,moderate,email,Usage at 45% (expected 80%) - Critical red flag,negative,-0.3,65.68,64.29,"Red flags missed, no intervention",,,,
4,2024-01-22,moderate,support_ticket,Support ticket: 'Too complex to use' - Adoption issues,negative,-0.4,65.68,64.29,"Red flags missed, no intervention",,,,
4,2024-01-22,moderate,email,Usage at 45% (expected 80%) - Critical red flag,negative,-0.3,65.68,64.29,"Red flags missed, no intervention",,,,
5,2024-01-29,at_risk,email,Email: 'Evaluating alternatives' - Competitor engaged,negative,-0.7,64.29,62.04,"Red flags missed, no intervention",,,,
5,2024-01-29,at_risk,escalation,Escalation: Budget concerns raised by CFO,very_negative,-0.8,64.29,62.04,"Red flags missed, no intervention",,,,
5,2024-01-29,at_risk,support_ticket,Usage dropped to 38% - Critical adoption failure,negative,-0.5,64.29,62.04,"Red flags missed, no intervention",,,,
5,2024-01-29,at_risk,meeting,Champion missed 2 consecutive meetings - Disengagement,negative,-0.6,64.29,62.04,"Red flags missed, no intervention",,,,
6,2024-02-05,at_risk,meeting,Champion missed 2 consecutive meetings - Disengagement,negative,-0.6,62.04,59.5,"Red flags missed, no intervention",,,,
6,2024-02-05,at_risk,meeting,Champion missed 2 consecutive meetings - Disengagement,negative,-0.6,62.04,59.5,"Red flags missed, no intervention",,,,
7,2024-02-12,at_risk,support_ticket,Usage dropped to 38% - Critical adoption failure,negative,-0.5,59.5,58.16,"Red flags missed, no intervention",,,,
7,2024-02-12,at_risk,meeting,Champion missed 2 consecutive meetings - Disengagement,negative,-0.6,59.5,58.16,"Red flags missed, no intervention",,,,
7,2024-02-12,at_risk,support_ticket,Usage dropped to 38% - Critical adoption failure,negative,-0.5,59.5,58.16,"Red flags missed, no intervention",,,,
8,2024-02-19,at_risk,support_ticket,Usage dropped to 38% - Critical adoption failure,negative,-0.5,58.16,56.11,"Red flags missed, no intervention",,,,
8,2024-02-19,at_risk,meeting,Champion missed 2 consecutive meetings - Disengagement,negative,-0.6,58.16,56.11,"Red flags missed, no intervention",,,,
8,2024-02-19,at_risk,escalation,Escalation: Budget concerns raised by CFO,very_negative,-0.8,58.16,56.11,"Red flags missed, no intervention",,,,
8,2024-02-19,at_risk,meeting,Champion missed 2 consecutive meetings - Disengagement,negative,-0.6,58.16,56.11,"Red flags missed, no intervention",,,,
9,2024-02-26,at_risk,support_ticket,Usage dropped to 38% - Critical adoption failure,negative,-0.5,56.11,54.25,"Red flags missed, no intervention",,,,
9,2024-02-26,at_risk,escalation,Escalation: Budget concerns raised by CFO,very_negative,-0.8,56.11,54.25,"Red flags missed, no intervention",,,,
9,2024-02-26,at_risk,escalation,Escalation: Budget concerns raised by CFO,very_negative,-0.8,56.11,54.25,"Red flags missed, no intervention",,,,
10,2024-03-04,at_risk,support_ticket,Usage dropped to 38% - Critical adoption failure,negative,-0.5,54.25,52.0,"Red flags missed, no intervention",,,,
10,2024-03-04,at_risk,email,Email: 'Evaluating alternatives' - Competitor engaged,negative,-0.7,54.25,52.0,"Red flags missed, no intervention",,,,
10,2024-03-04,at_risk,escalation,Escalation: Budget concerns raised by CFO,very_negative,-0.8,54.25,52.0,"Red flags missed, no intervention",,,,
11,2024-03-11,at_risk,meeting,Champion missed 2 consecutive meetings - Disengagement,negative,-0.6,52.0,50.55,"Red flags missed, no intervention",,,,
11,2024-03-11,at_risk,email,Email: 'Evaluating alternatives' - Competitor engaged,negative,-0.7,52.0,50.55,"Red flags missed, no intervention",,,,
11,2024-03-11,at_risk,email,Email: 'Evaluating alternatives' - Competitor engaged,negative,-0.7,52.0,50.55,"Red flags missed, no intervention",,,,
12,2024-03-18,at_risk,meeting,Champion missed 2 consecutive meetings - Disengagement,negative,-0.6,50.55,48.52,"Red flags missed, no intervention",,,,
12,2024-03-18,at_risk,email,Email: 'Evaluating alternatives' - Competitor engaged,negative,-0.7,50.55,48.52,"Red flags missed, no intervention",,,,
12,2024-03-18,at_risk,email,Email: 'Evaluating alternatives' - Competitor engaged,negative,-0.7,50.55,48.52,"Red flags missed, no intervention",,,,
13,2024-03-25,crisis,escalation,CFO: 'Not seeing value' - Formal non-renewal notice,very_negative,-0.95,48.52,45.54,"Too late, trust destroyed",executive_sponsor,Executive sponsor assigned (too late),120,15000
13,2024-03-25,crisis,escalation,CFO: 'Not seeing value' - Formal non-renewal notice,very_negative,-0.95,48.52,45.54,"Too late, trust destroyed",renewal_planning,Emergency retention campaign initiated,72,8000
13,2024-03-25,crisis,contract_discussion,Champion: 'Leadership lost faith' - Already decided,very_negative,-0.9,48.52,45.54,"Too late, trust destroyed",discount_negotiation,Aggressive 25% discount offered (rejected),168,5000
14,2024-04-01,crisis,escalation,CFO: 'Not seeing value' - Formal non-renewal notice,very_negative,-0.95,45.54,42.94,"Too late, trust destroyed",renewal_planning,Emergency retention campaign initiated,72,8000
14,2024-04-01,crisis,meeting,3 consecutive meetings canceled - Executive disengaged,very_negative,-0.9,45.54,42.94,"Too late, trust destroyed",,,,
14,2024-04-01,crisis,meeting,3 consecutive meetings canceled - Executive disengaged,very_negative,-0.9,45.54,42.94,"Too late, trust destroyed",,,,
15,2024-04-08,crisis,meeting,3 consecutive meetings canceled - Executive disengaged,very_negative,-0.9,42.94,40.77,"Too late, trust destroyed",executive_sponsor,Executive sponsor assigned (too late),120,15000
15,2024-04-08,crisis,meeting,3 consecutive meetings canceled - Executive disengaged,very_negative,-0.9,42.94,40.77,"Too late, trust destroyed",,,,
15,2024-04-08,crisis,contract_discussion,Champion: 'Leadership lost faith' - Already decided,very_negative,-0.9,42.94,40.77,"Too late, trust destroyed",,,,
15,2024-04-08,crisis,escalation,CFO: 'Not seeing value' - Formal non-renewal notice,very_negative,-0.95,42.94,40.77,"Too late, trust destroyed",,,,
16,2024-04-15,crisis,escalation,CFO: 'Not seeing value' - Formal non-renewal notice,very_negative,-0.95,40.77,38.21,"Too late, trust destroyed",renewal_planning,Emergency retention campaign initiated,72,8000
16,2024-04-15,crisis,contract_discussion,Champion: 'Leadership lost faith' - Already decided,very_negative,-0.9,40.77,38.21,"Too late, trust destroyed",,,,
16,2024-04-15,crisis,contract_discussion,Champion: 'Leadership lost faith' - Already decided,very_negative,-0.9,40.77,38.21,"Too late, trust destroyed",,,,
17,2024-04-22,churned,contract_discussion,CHURNED: Signed with AWS - Account lost,very_negative,-1.0,38.21,30,"Account lost, competitor won",,,,
18,2024-04-29,churned,contract_discussion,CHURNED: Signed with AWS - Account lost,very_negative,-1.0,30,27.93,"Account lost, competitor won",,,,
19,2024-05-06,churned,contract_discussion,CHURNED: Signed with AWS - Account lost,very_negative,-1.0,27.93,25.11,"Account lost, competitor won",,,,
20,2024-05-13,churned,meeting,"Exit interview: 'Too little, too late' - Feedback",very_negative,-1.0,25.11,22.79,"Account lost, competitor won",,,,
21,2024-05-20,churned,meeting,"Exit interview: 'Too little, too late' - Feedback",very_negative,-1.0,22.79,21.37,"Account lost, competitor won",,,,
22,2024-05-27,churned,contract_discussion,CHURNED: Signed with AWS - Account lost,very_negative,-1.0,21.37,19.59,"Account lost, competitor won",,,,
