account_id,account_name,date,signal_type,from_contact,to_contact,summary,sentiment
29001,CloudScale AI Labs,2024-01-08,email,Customer Team,Emily Watson,Security compliance audit findings,negative
29001,CloudScale AI Labs,2024-01-16,email,Dr. Brown,Emily Watson,Regular operational status update provided,neutral
29001,CloudScale AI Labs,2024-01-22,escalation,Dr. Brown,Emily Watson,Project milestone delayed due to resource constraints,negative
29001,CloudScale AI Labs,2024-01-19,email,Customer Team,Emily Watson,Monthly business review conducted,neutral
29001,CloudScale AI Labs,2024-01-08,meeting,Customer Team,Emily Watson,Integration challenges with existing systems,negative
29001,CloudScale AI Labs,2024-01-09,escalation,Dr. Brown,Emily Watson,Unexpected system downtime reported,negative
29001,CloudScale AI Labs,2024-01-19,email,Dr. Brown,Emily Watson,Successful QBR with expansion discussion initiated,positive
29001,CloudScale AI Labs,2024-01-18,escalation,Dr. Brown,Emily Watson,Security compliance audit findings,negative
29001,CloudScale AI Labs,2024-02-22,email,Customer Team,Emily Watson,Budget concerns raised during planning meeting,negative
29001,CloudScale AI Labs,2024-02-12,email,Dr. Brown,Emily Watson,Documentation review and updates,neutral
29001,CloudScale AI Labs,2024-01-31,email,Dr. Brown,Emily Watson,Successfully deployed new workload ahead of schedule,positive
29001,CloudScale AI Labs,2024-02-21,meeting,Customer Team,Emily Watson,System health check completed,neutral
29001,CloudScale AI Labs,2024-02-27,meeting,Customer Team,Emily Watson,Positive feedback on recent infrastructure upgrade,positive
29001,CloudScale AI Labs,2024-02-12,escalation,Dr. Brown,Emily Watson,Concerns about cooling efficiency raised,negative
29001,CloudScale AI Labs,2024-02-23,email,Dr. Brown,Emily Watson,Security compliance audit findings,negative
29001,CloudScale AI Labs,2024-02-14,email,Customer Team,Emily Watson,Escalation from operations team regarding performance,negative
29001,CloudScale AI Labs,2024-03-25,email,Customer Team,Emily Watson,Support ticket unresolved >48 hours,negative
29001,CloudScale AI Labs,2024-03-24,email,Customer Team,Emily Watson,Scheduled maintenance window executed,neutral
29001,CloudScale AI Labs,2024-03-02,email,Customer Team,Emily Watson,Monthly business review conducted,neutral
29001,CloudScale AI Labs,2024-03-17,email,Dr. Brown,Emily Watson,Routine technical sync meeting completed,neutral
29001,CloudScale AI Labs,2024-03-11,email,Dr. Brown,Emily Watson,Integration challenges with existing systems,negative
29001,CloudScale AI Labs,2024-03-25,meeting,Dr. Brown,Emily Watson,Team member completed advanced certification,positive
29001,CloudScale AI Labs,2024-03-09,meeting,Customer Team,Emily Watson,Quarterly capacity planning review,neutral
29001,CloudScale AI Labs,2024-03-23,escalation,Dr. Brown,Emily Watson,Security compliance audit findings,negative
29001,CloudScale AI Labs,2024-04-15,meeting,Dr. Brown,Emily Watson,Routine technical sync meeting completed,neutral
29001,CloudScale AI Labs,2024-04-22,meeting,Customer Team,Emily Watson,Budget concerns raised during planning meeting,negative
29001,CloudScale AI Labs,2024-04-07,escalation,Customer Team,Emily Watson,Project milestone delayed due to resource constraints,negative
29001,CloudScale AI Labs,2024-04-27,email,Dr. Brown,Emily Watson,Scheduled maintenance window executed,neutral
29001,CloudScale AI Labs,2024-04-20,email,Customer Team,Emily Watson,Integration challenges with existing systems,negative
29001,CloudScale AI Labs,2024-04-04,meeting,Dr. Brown,Emily Watson,Regular operational status update provided,neutral
29001,CloudScale AI Labs,2024-04-14,email,Customer Team,Emily Watson,Budget concerns raised during planning meeting,negative
29001,CloudScale AI Labs,2024-04-28,meeting,Customer Team,Emily Watson,Security compliance audit findings,negative
29001,CloudScale AI Labs,2024-05-17,meeting,Dr. Brown,Emily Watson,Unexpected system downtime reported,negative
29001,CloudScale AI Labs,2024-05-04,escalation,Customer Team,Emily Watson,Support ticket unresolved >48 hours,negative
29001,CloudScale AI Labs,2024-05-23,escalation,Customer Team,Emily Watson,Escalation from operations team regarding performance,negative
29001,CloudScale AI Labs,2024-05-27,escalation,Dr. Brown,Emily Watson,Support ticket unresolved >48 hours,negative
29001,CloudScale AI Labs,2024-05-08,meeting,Customer Team,Emily Watson,Unexpected system downtime reported,negative
29001,CloudScale AI Labs,2024-05-05,meeting,Dr. Brown,Emily Watson,Monthly business review conducted,neutral
29001,CloudScale AI Labs,2024-05-21,email,Customer Team,Emily Watson,Documentation review and updates,neutral
29001,CloudScale AI Labs,2024-05-06,meeting,Dr. Brown,Emily Watson,Quarterly capacity planning review,neutral
29001,CloudScale AI Labs,2024-06-11,escalation,Dr. Brown,Emily Watson,Integration challenges with existing systems,negative
29001,CloudScale AI Labs,2024-06-27,email,Customer Team,Emily Watson,Escalation from operations team regarding performance,negative
29001,CloudScale AI Labs,2024-06-09,email,Customer Team,Emily Watson,Documentation review and updates,neutral
29001,CloudScale AI Labs,2024-06-07,meeting,Customer Team,Emily Watson,Regular operational status update provided,neutral
29001,CloudScale AI Labs,2024-06-11,meeting,Customer Team,Emily Watson,Integration challenges with existing systems,negative
29001,CloudScale AI Labs,2024-06-13,meeting,Customer Team,Emily Watson,Support ticket unresolved >48 hours,negative
29001,CloudScale AI Labs,2024-05-30,meeting,Dr. Brown,Emily Watson,Team member completed advanced certification,positive
29001,CloudScale AI Labs,2024-06-19,email,Customer Team,Emily Watson,Quarterly capacity planning review,neutral
29001,CloudScale AI Labs,2024-07-20,email,Customer Team,Emily Watson,Early adoption of new AI acceleration features,positive
29001,CloudScale AI Labs,2024-07-08,meeting,Customer Team,Emily Watson,Quarterly capacity planning review,neutral
29001,CloudScale AI Labs,2024-07-12,email,Dr. Brown,Emily Watson,Unexpected system downtime reported,negative
