kpi_code,kpi_name,pillar,pillar_weight,kpi_weight_in_pillar,indicator_type,predictive_horizon_days,confidence_level,direction,source_review,data_source_system,data_collection_method,impact_level,measurement_frequency,range_type,range_min,range_max,target_value,target_operator,unit,range_critical_min,range_critical_max,range_atrisk_min,range_atrisk_max,range_healthy_min,range_healthy_max,range_optimal_min,range_optimal_max,can_be_na,na_conditions,priority_in_normal,priority_in_crisis,priority_in_expansion,reasoning_notes,triggers_playbook,playbook_logic,trigger_threshold,trigger_condition,business_impact,quality_rules,causal_relationship
DV-KPI1,Time to First Workload (TTFV),P1_Deployment_Velocity,0.1,0.25,leading,90,0.82,lower_better,CSR,CS Pulse deployment tracker,Automated milestone tracking from contract signature to first workload,High,Per Customer,days,0,60,14,<=,days,30,60,20,29,0,19,0,14,False,,medium,low,low,Important for onboarding quality but not urgent in crisis/expansion scenarios,PB-01,IF >20 days THEN PB-01 (Deployment Acceleration),20,>,"Faster deployment = earlier revenue recognition, better customer experience",Must measure from contract signature to first AI workload running,Slow deployment → Poor first impression → Adoption risk → Churn
DV-KPI2,Onboarding Completion Rate,P1_Deployment_Velocity,0.1,0.2,leading,60,0.85,higher_better,CSR,CS Pulse onboarding checklist,Automated checklist completion tracking via CS Pulse portal,High,Monthly,percentage,0,100,90,>=,%,0,70,71,89,90,100,95,100,True,First 30 days of account,medium,low,low,Predicts adoption success but less critical during active crisis,PB-01,IF <80% THEN PB-01 (Deployment Acceleration),80,<,"Low completion indicates deployment issues, delays time-to-value",Track completion of all onboarding milestones,Low completion → Poor training → Low adoption → Churn risk
DV-KPI3,Infrastructure Provisioning Speed,P1_Deployment_Velocity,0.1,0.2,leading,45,0.88,lower_better,OBR,Infrastructure automation logs (Terraform/Ansible),Automated tracking from order placement to GPUs operational,High,Per Deployment,days,0,30,5,<=,days,15,30,10,14,0,9,0,5,False,,medium,medium,medium,Provisioning delays impact all scenarios moderately,PB-01,IF >10 days THEN PB-01 (Deployment Acceleration),10,>,"Slow provisioning delays projects, impacts customer satisfaction",Measure from order to GPUs operational,Slow provisioning → Delayed projects → Customer frustration → Risk
DV-KPI4,Configuration Success Rate,P1_Deployment_Velocity,0.1,0.15,leading,30,0.8,higher_better,CSR,Deployment automation system (Ansible/Chef),Automated success/failure tracking per configuration run,Medium,Per Deployment,percentage,0,100,95,>=,%,0,85,86,94,95,100,98,100,False,,low,low,low,"Tactical metric, less strategic importance",PB-01,IF <90% THEN PB-01 (Deployment Acceleration),90,<,"Configuration failures delay deployment, require rework",First-time configuration success without errors,Config failures → Rework → Delays → Frustration
DV-KPI5,Training Completion Time,P1_Deployment_Velocity,0.1,0.1,leading,60,0.78,lower_better,CSR,Learning management system (LMS),Automated course completion tracking via LMS API,Medium,Per Customer,days,0,45,10,<=,days,21,45,14,20,0,13,0,10,True,Customer declined training,low,low,low,Important for adoption but not urgent signal,"PB-01,PB-06",IF >14 days THEN PB-01 (Deployment Acceleration),14,>,"Delayed training slows adoption, impacts utilization",Measure from deployment to all key users trained,Delayed training → Slow adoption → Low utilization → Risk
DV-KPI6,Time to Production,P1_Deployment_Velocity,0.1,0.1,leading,75,0.84,lower_better,CSR,CS Pulse production milestone tracker,Automated tracking from deployment to first production workload,High,Per Customer,days,0,90,21,<=,days,45,90,30,44,0,29,0,21,False,,medium,low,low,Important success metric but not urgent in crisis scenarios,PB-01,IF >30 days THEN PB-01 (Deployment Acceleration),30,>,Production delay impacts revenue realization and customer value,Measure from deployment to first production AI workload,Delayed production → Revenue delay → Value delay → Risk
OS-KPI1,System Uptime,P2_Operational_Stability,0.3,0.3,lagging,0,0.95,higher_better,OBR,GPU cluster monitoring system (Prometheus/Grafana),"24/7 automated monitoring, 1-minute resolution",Critical,Daily,percentage,0,100,99.5,>=,%,0,97.0,97.1,99.0,99.1,100,99.5,100,False,,high,critical,medium,CRITICAL in crisis - downtime is main problem. High priority always.,"PB-02,PB-05","IF <99% THEN PB-05 (Health Monitoring), IF <97% THEN PB-02 (RMA Prevention)",99.0,<,"Downtime stops production, impacts revenue and customer satisfaction critically","24/7 monitoring, exclude planned maintenance windows",Low uptime → Production stopped → Revenue impact → Customer dissatisfaction → Churn risk
OS-KPI2,Mean Time Between Failures (MTBF),P2_Operational_Stability,0.3,0.2,lagging,0,0.88,higher_better,OBR,Hardware failure tracking system,"Automated incident logging, time-series calculation",High,Daily,hours,0,10000,720,>=,hours,0,360,361,719,720,10000,1440,10000,False,,medium,high,low,"Important for reliability tracking, elevated in crisis",PB-02,IF <500 hours THEN PB-02 (RMA Prevention),500,<,"Frequent failures increase RMA costs, disrupt workloads",Calculate time between unplanned failures only,Low MTBF → Frequent failures → High RMA → Customer frustration
OS-KPI3,Mean Time To Recovery (MTTR),P2_Operational_Stability,0.3,0.2,lagging,0,0.9,lower_better,SBR,Incident management system (ServiceNow/Jira),Automated incident resolution time tracking,High,Daily,hours,0,72,2,<=,hours,8,72,4,7,0,3,0,2,False,,medium,critical,low,CRITICAL in crisis - fast recovery essential,"PB-02,PB-05",IF >4 hours THEN PB-02 (RMA Prevention),4,>,"Long recovery time extends downtime impact, increases cost",Measure from failure detection to service fully restored,High MTTR → Extended downtime → Higher impact → Customer frustration
OS-KPI4,Incident Count,P2_Operational_Stability,0.3,0.1,lagging,0,0.85,lower_better,SBR,Support ticketing system (Zendesk/Jira),Automated ticket counting by severity level,High,Weekly,count,0,100,5,<=,incidents/month,15,100,10,14,0,9,0,5,False,,medium,high,low,High volume indicates systemic issues,PB-05,IF >10/month THEN PB-05 (Health Monitoring),10,>,High incident volume indicates systemic issues,Count severity 1-3 incidents only,High incidents → Systemic problems → Operational instability
OS-KPI5,Critical Alert Response Time,P2_Operational_Stability,0.3,0.05,lagging,0,0.87,lower_better,SBR,Alert monitoring system (PagerDuty/Opsgenie),Automated response time tracking from alert to acknowledgment,High,Daily,minutes,0,480,15,<=,minutes,60,480,30,59,0,29,0,15,False,,low,high,low,Response speed critical during crisis,PB-05,IF >30 min THEN PB-05 (Health Monitoring),30,>,"Slow response extends downtime, customer frustration",Measure from alert generation to first human response,Slow response → Extended issues → Higher impact
