signal_id,account_id,signal_date,signal_type,content,sentiment,sentiment_score,arc_id,story_phase,linked_node_id,signal_ref
sig_435001_1,435001,2026-01-15,champion_change,VP of Infrastructure James Morrison has resigned. Lisa Park promoted as interim replacement.,negative,-0.6,champion_loss,,,sig_435001_1
sig_435001_2,435001,2026-02-01,competitor_mention,Lisa Park evaluating alternative GPU cloud providers. RFP issued to 3 vendors.,negative,-0.9,champion_loss,,,sig_435001_2
sig_435001_3,435001,2026-02-15,usage_decline,GPU utilization dropped from 82% to 48% over 4 weeks. Training jobs migrating to competitor.,negative,-0.6,champion_loss,,,sig_435001_3
sig_435001_4,435001,2026-03-01,engagement_gap,No executive contact in 90+ days. QBR requests unanswered.,negative,-0.6,champion_loss,,,sig_435001_4
narrative_sig_435001_5,435001,2025-12-30,kpi_decline,KPI metrics declining below threshold,negative,-0.67,champion_loss,warning,,narrative_sig_435001_5
narrative_sig_435001_6,435001,2026-01-06,support_escalation,Support ticket escalated to management,negative,-0.61,champion_loss,warning,,narrative_sig_435001_6
sig_435001_7,435001,2025-10-23,health_check,Performance metrics under review,negative,-0.4,champion_loss,,,sig_435001_7
sig_435001_8,435001,2025-10-25,observation,Performance metrics under review,neutral,0.03,champion_loss,,,sig_435001_8
sig_435001_9,435001,2025-11-06,health_check,Stakeholder alignment meeting scheduled,neutral,0.21,champion_loss,,,sig_435001_9
sig_435001_10,435001,2025-11-09,meeting,Support ticket volume above normal,neutral,0.19,champion_loss,,,sig_435001_10
sig_435001_11,435001,2025-12-06,health_check,Stakeholder alignment meeting scheduled,neutral,0.2,champion_loss,,,sig_435001_11
sig_435001_12,435001,2025-12-14,health_check,Stakeholder alignment meeting scheduled,negative,-0.54,champion_loss,,,sig_435001_12
sig_435001_13,435001,2026-01-17,observation,Support ticket volume above normal,negative,-0.58,champion_loss,,,sig_435001_13
sig_435001_14,435001,2026-01-24,health_check,Stakeholder alignment meeting scheduled,negative,-0.6,champion_loss,,,sig_435001_14
sig_435001_15,435001,2026-02-08,health_check,Support ticket volume above normal,neutral,0.11,champion_loss,,,sig_435001_15
sig_435001_16,435001,2026-02-17,meeting,Escalation review meeting conducted,negative,-0.62,champion_loss,,,sig_435001_16
sig_435001_17,435001,2026-03-02,meeting,Escalation review meeting conducted,negative,-0.52,champion_loss,,,sig_435001_17
sig_435001_18,435001,2026-03-29,health_check,Support ticket volume above normal,neutral,0.14,champion_loss,,,sig_435001_18
sig_435002_19,435002,2026-01-20,incident,Sev-1: Complete rack failure in Pod 3. 4-hour outage affecting 120 GPU nodes.,negative,-0.9,infrastructure_decay,,,sig_435002_19
sig_435002_20,435002,2026-02-08,incident,Sev-1: Power distribution unit failure. 2-hour outage. Second major incident in 3 weeks.,negative,-0.9,infrastructure_decay,,,sig_435002_20
sig_435002_21,435002,2026-02-15,escalation,CTO Michael Torres escalated to our VP of Sales. Demanded reliability improvement plan within 2 weeks.,negative,-0.9,infrastructure_decay,,,sig_435002_21
sig_435002_22,435002,2026-03-01,kpi_breach,RMA rate crossed 2.5% threshold (was 0.8% in Oct). MTBF dropped to 4200 hours (target: 8000).,negative,-0.6,infrastructure_decay,,,sig_435002_22
narrative_sig_435002_23,435002,2025-12-30,kpi_decline,KPI metrics declining below threshold,negative,-0.52,infrastructure_decay,warning,,narrative_sig_435002_23
narrative_sig_435002_24,435002,2026-01-06,support_escalation,Support ticket escalated to management,negative,-0.62,infrastructure_decay,warning,,narrative_sig_435002_24
sig_435002_25,435002,2025-10-03,observation,Stakeholder alignment meeting scheduled,neutral,-0.05,infrastructure_decay,,,sig_435002_25
sig_435002_26,435002,2025-10-10,meeting,Support ticket volume above normal,neutral,0.12,infrastructure_decay,,,sig_435002_26
sig_435002_27,435002,2025-11-28,health_check,Stakeholder alignment meeting scheduled,negative,-0.34,infrastructure_decay,,,sig_435002_27
sig_435002_28,435002,2025-11-13,customer_feedback,Performance metrics under review,negative,-0.35,infrastructure_decay,,,sig_435002_28
sig_435002_29,435002,2025-12-22,meeting,Support ticket volume above normal,negative,-0.46,infrastructure_decay,,,sig_435002_29
sig_435002_30,435002,2025-12-01,customer_feedback,Stakeholder alignment meeting scheduled,negative,-0.52,infrastructure_decay,,,sig_435002_30
sig_435002_31,435002,2026-01-11,health_check,Escalation review meeting conducted,neutral,-0.15,infrastructure_decay,,,sig_435002_31
