account_id,customer_id,account_name,account_type,industry,account_tier,initial_arr,final_arr,contract_start_date,contract_end_date,partner_id,partner_name,partner_tier,gpu_count,datacenter_location,csm_assigned,executive_sponsor,journey_type,outcome,has_narrative
10001,9,CloudScale AI Labs,Success Story,AI/ML Research,Enterprise,5000000,10000000,2024-01-15,2025-01-14,P001,TechSolutions Inc,Strategic,256,US-West (Oregon),Sarah Chen,VP Customer Success,healthy_expansion,"100% ARR growth, reference customer",True
10002,9,DataForge Analytics,Near-Miss Recovery,Financial Services,Enterprise,3200000,3800000,2024-01-10,2025-01-09,P001,TechSolutions Inc,Strategic,128,US-East (Virginia),Marcus Johnson,,recovery,18.8% growth after Q2 dip,False
10003,9,Quantum Computing Corp,Churned,Quantum Research,Mid-Market,3800000,0,2024-01-08,2024-05-31,P004,Quantum Resellers,Tier 2,96,US-Central (Iowa),David Park,,churned,"Lost to AWS, $3.8M ARR churned",True
10004,9,Neural Dynamics Inc,Rocket Ship,Healthcare AI,Enterprise,2500000,6200000,2024-02-01,2025-01-31,P002,CloudScale Partners,Tier 1,320,US-West (California),Sarah Chen,VP Customer Success,rapid_growth,"148% growth, 2 expansions",False
10005,9,SecureBank AI Division,Steady Performer,Banking,Enterprise,4100000,4500000,2024-01-05,2025-01-04,P001,TechSolutions Inc,Strategic,192,US-East (New York),Emily Rodriguez,,stable,"9.8% organic growth, healthy",False
10006,9,MediaStream AI,Slow Burn,Media & Entertainment,Mid-Market,1800000,1300000,2024-01-12,2025-01-11,P003,DataCenter Pros,Tier 1,64,US-West (Los Angeles),David Park,,declining,"27.8% contraction, at risk",False
10007,9,Legacy Manufacturing Inc,Recovery,Manufacturing/Robotics,Enterprise,2100000,3000000,2024-01-20,2025-01-19,P001,TechSolutions Inc,Strategic,128,US-Central (Chicago),Marcus Johnson,CRO,crisis_recovery,"43% expansion after Feb crisis, ROI 2,122%",True
10008,9,AutoDrive Systems,Expansion Play,Autonomous Vehicles,Enterprise,5500000,8200000,2024-01-18,2025-01-17,P002,CloudScale Partners,Tier 1,384,US-West (Silicon Valley),Emily Rodriguez,VP Customer Success,strategic_expansion,"49% growth, competitive win",False
10009,9,RetailAI Solutions,Budget Victim,Retail,Mid-Market,1200000,850000,2024-01-22,2025-01-21,P003,DataCenter Pros,Tier 1,48,US-East (Atlanta),David Park,,budget_constrained,29.2% downgrade due to budget cuts,False
10010,9,BioTech Research Lab,Champion Change,Biotechnology,Enterprise,2800000,3100000,2024-01-25,2025-01-24,P001,TechSolutions Inc,Strategic,160,US-East (Boston),Sarah Chen,,champion_transition,10.7% growth after champion change in Q3,False
