account_id,decision_date,title,decision_maker_role,chosen_option,options_considered,revenue_impact,risk_level,evidence_refs,outcome_description,confidence
289001,2025-01-20,Approve POC for New LLM Fine-Tuning Workloads,champion,Approve POC with dedicated GPU allocation for LLM fine-tuning,"[""Approve POC with dedicated GPU allocation for LLM fine-tuning"", ""Delay POC until Q3 budget cycle"", ""Reject POC - use cloud provider GPUs instead""]",0,low,"[""P3-KPI1: GPU utilization at 55% with room for POC workloads"", ""P3-KPI7: Only 2 workload types -- opportunity to diversify"", ""P5-KPI6: Zero new use cases in last 90 days""]",POC approved. VP Engineering allocates 20% of GPU capacity for LLM fine-tuning evaluation. This becomes the catalyst for the entire expansion chain.,0.82
289001,2025-05-09,Request Capacity Expansion Budget from CTO,champion,Request $5.2M expansion for 128 additional GPUs (4 racks),"[""Request $5.2M expansion for 128 additional GPUs (4 racks)"", ""Request $2.8M partial expansion for 64 GPUs (2 racks)"", ""Optimize existing capacity and defer expansion to next fiscal year""]",5200000,low,"[""P3-KPI1: GPU utilization at 88% -- above critical threshold"", ""P3-KPI2: Training job completion rate dropped from 93% to 82%"", ""P5-KPI1: Capacity utilization at 92% -- near saturation"", ""P5-KPI2: Capacity trajectory showing +12% MoM growth"", ""P2-KPI3: Critical incidents doubled in 30 days due to resource contention"", ""CSM-provided ROI analysis showing 35% return on expansion investment""]",VP Engineering presents CSM-built ROI deck to CTO. CTO approves full $5.2M budget citing AI roadmap strategic importance and capacity data from CS team.,0.71
289001,2025-07-30,Sign Expansion Purchase Order,decision_maker,Sign $5.2M PO for 128 GPUs with 8-week deployment timeline,"[""Sign $5.2M PO for 128 GPUs with 8-week deployment timeline"", ""Split order into two phases: 64 GPUs now, 64 GPUs in 6 months"", ""Issue RFP to evaluate competitive alternatives""]",5200000,low,"[""P5-KPI7: Expansion probability at 92% -- highest confidence"", ""P5-KPI5: Budget approved and available"", ""P3-KPI2: Training job completion recovered to 88% with interim optimization"", ""P4-KPI1: Partner engagement strong -- smooth procurement process"", ""Reference call: Similar customer achieved 40% GPU utilization headroom post-expansion"", ""CSM deployment timeline: 8 weeks to production, minimal disruption""]",Infrastructure Director signs $5.2M PO. Full 128-GPU expansion with 8-week deployment commitment. CS team credited with data-driven urgency creation and champion enablement.,0.76
289002,2025-01-20,Approve POC for New LLM Fine-Tuning Workloads,champion,Approve POC with dedicated GPU allocation for LLM fine-tuning,"[""Approve POC with dedicated GPU allocation for LLM fine-tuning"", ""Delay POC until Q3 budget cycle"", ""Reject POC - use cloud provider GPUs instead""]",0,low,"[""P3-KPI1: GPU utilization at 55% with room for POC workloads"", ""P3-KPI7: Only 2 workload types -- opportunity to diversify"", ""P5-KPI6: Zero new use cases in last 90 days""]",POC approved. VP Engineering allocates 20% of GPU capacity for LLM fine-tuning evaluation. This becomes the catalyst for the entire expansion chain.,0.9
289002,2025-05-05,Request Capacity Expansion Budget from CTO,champion,Request $5.2M expansion for 128 additional GPUs (4 racks),"[""Request $5.2M expansion for 128 additional GPUs (4 racks)"", ""Request $2.8M partial expansion for 64 GPUs (2 racks)"", ""Optimize existing capacity and defer expansion to next fiscal year""]",5200000,low,"[""P3-KPI1: GPU utilization at 88% -- above critical threshold"", ""P3-KPI2: Training job completion rate dropped from 93% to 82%"", ""P5-KPI1: Capacity utilization at 92% -- near saturation"", ""P5-KPI2: Capacity trajectory showing +12% MoM growth"", ""P2-KPI3: Critical incidents doubled in 30 days due to resource contention"", ""CSM-provided ROI analysis showing 35% return on expansion investment""]",VP Engineering presents CSM-built ROI deck to CTO. CTO approves full $5.2M budget citing AI roadmap strategic importance and capacity data from CS team.,0.89
289002,2025-07-29,Sign Expansion Purchase Order,decision_maker,Sign $5.2M PO for 128 GPUs with 8-week deployment timeline,"[""Sign $5.2M PO for 128 GPUs with 8-week deployment timeline"", ""Split order into two phases: 64 GPUs now, 64 GPUs in 6 months"", ""Issue RFP to evaluate competitive alternatives""]",5200000,low,"[""P5-KPI7: Expansion probability at 92% -- highest confidence"", ""P5-KPI5: Budget approved and available"", ""P3-KPI2: Training job completion recovered to 88% with interim optimization"", ""P4-KPI1: Partner engagement strong -- smooth procurement process"", ""Reference call: Similar customer achieved 40% GPU utilization headroom post-expansion"", ""CSM deployment timeline: 8 weeks to production, minimal disruption""]",Infrastructure Director signs $5.2M PO. Full 128-GPU expansion with 8-week deployment commitment. CS team credited with data-driven urgency creation and champion enablement.,0.75
289003,2025-01-20,Approve POC for New LLM Fine-Tuning Workloads,champion,Approve POC with dedicated GPU allocation for LLM fine-tuning,"[""Approve POC with dedicated GPU allocation for LLM fine-tuning"", ""Delay POC until Q3 budget cycle"", ""Reject POC - use cloud provider GPUs instead""]",0,low,"[""P3-KPI1: GPU utilization at 55% with room for POC workloads"", ""P3-KPI7: Only 2 workload types -- opportunity to diversify"", ""P5-KPI6: Zero new use cases in last 90 days""]",POC approved. VP Engineering allocates 20% of GPU capacity for LLM fine-tuning evaluation. This becomes the catalyst for the entire expansion chain.,0.86
289003,2025-05-06,Request Capacity Expansion Budget from CTO,champion,Request $5.2M expansion for 128 additional GPUs (4 racks),"[""Request $5.2M expansion for 128 additional GPUs (4 racks)"", ""Request $2.8M partial expansion for 64 GPUs (2 racks)"", ""Optimize existing capacity and defer expansion to next fiscal year""]",5200000,low,"[""P3-KPI1: GPU utilization at 88% -- above critical threshold"", ""P3-KPI2: Training job completion rate dropped from 93% to 82%"", ""P5-KPI1: Capacity utilization at 92% -- near saturation"", ""P5-KPI2: Capacity trajectory showing +12% MoM growth"", ""P2-KPI3: Critical incidents doubled in 30 days due to resource contention"", ""CSM-provided ROI analysis showing 35% return on expansion investment""]",VP Engineering presents CSM-built ROI deck to CTO. CTO approves full $5.2M budget citing AI roadmap strategic importance and capacity data from CS team.,0.73
289003,2025-07-28,Sign Expansion Purchase Order,decision_maker,Sign $5.2M PO for 128 GPUs with 8-week deployment timeline,"[""Sign $5.2M PO for 128 GPUs with 8-week deployment timeline"", ""Split order into two phases: 64 GPUs now, 64 GPUs in 6 months"", ""Issue RFP to evaluate competitive alternatives""]",5200000,low,"[""P5-KPI7: Expansion probability at 92% -- highest confidence"", ""P5-KPI5: Budget approved and available"", ""P3-KPI2: Training job completion recovered to 88% with interim optimization"", ""P4-KPI1: Partner engagement strong -- smooth procurement process"", ""Reference call: Similar customer achieved 40% GPU utilization headroom post-expansion"", ""CSM deployment timeline: 8 weeks to production, minimal disruption""]",Infrastructure Director signs $5.2M PO. Full 128-GPU expansion with 8-week deployment commitment. CS team credited with data-driven urgency creation and champion enablement.,0.84
289004,2025-01-21,Approve POC for New LLM Fine-Tuning Workloads,champion,Approve POC with dedicated GPU allocation for LLM fine-tuning,"[""Approve POC with dedicated GPU allocation for LLM fine-tuning"", ""Delay POC until Q3 budget cycle"", ""Reject POC - use cloud provider GPUs instead""]",0,low,"[""P3-KPI1: GPU utilization at 55% with room for POC workloads"", ""P3-KPI7: Only 2 workload types -- opportunity to diversify"", ""P5-KPI6: Zero new use cases in last 90 days""]",POC approved. VP Engineering allocates 20% of GPU capacity for LLM fine-tuning evaluation. This becomes the catalyst for the entire expansion chain.,0.82
