account_id,outcome_date,outcome_type,title,description,revenue_impact,status,linked_signal_id
445001,2026-02-27,revenue_at_risk,Churn risk identified — Zermatt Analytics,Account showing signs of churn. ARR at risk.,-4250000.0,open,intervention_sig_445001_1
445001,2026-03-02,engagement_decline,Engagement declining — Zermatt Analytics,Stakeholder engagement dropped significantly.,-850000.0,in_progress,intervention_sig_445001_1
445001,2026-03-24,renewal_uncertainty,Renewal at risk — Zermatt Analytics,Renewal timeline uncertain due to unresolved issues.,-2550000.0,open,intervention_sig_445001_1
445001,2026-03-15,capacity_constraint,Capacity issues — Zermatt Analytics,Infrastructure capacity constraints impacting service quality.,-1275000.0,in_progress,intervention_sig_445001_1
445001,2026-02-17,churn_averted,Churn Risk Averted — Zermatt Analytics,Retention plan executed successfully. Account committed to 12-month renewal.,2744703.59,resolved,intervention_auto_recovery_445001_1
445001,2026-03-10,engagement_recovery,Engagement Recovery — Zermatt Analytics,Stakeholder engagement restored to healthy levels after CSM intervention.,550391.53,resolved,intervention_auto_recovery_445001_1
445002,2026-02-27,revenue_at_risk,Churn risk identified — Eiger Cloud Services,Account showing signs of churn. ARR at risk.,-3100000.0,open,intervention_sig_445002_1
445002,2026-03-02,engagement_decline,Engagement declining — Eiger Cloud Services,Stakeholder engagement dropped significantly.,-620000.0,in_progress,intervention_sig_445002_1
445002,2026-03-25,renewal_uncertainty,Renewal at risk — Eiger Cloud Services,Renewal timeline uncertain due to unresolved issues.,-1860000.0,open,intervention_sig_445002_1
445002,2026-03-21,capacity_constraint,Capacity issues — Eiger Cloud Services,Infrastructure capacity constraints impacting service quality.,-930000.0,in_progress,intervention_sig_445002_1
445002,2026-02-12,revenue_protected,Revenue Protected — Eiger Cloud Services,Intervention protected ARR through executive engagement and service improvements.,865456.12,resolved,intervention_auto_recovery_445002_1
445002,2026-02-28,churn_averted,Churn Risk Averted — Eiger Cloud Services,Retention plan executed successfully. Account committed to 12-month renewal.,2904478.95,resolved,intervention_auto_recovery_445002_1
445002,2026-03-15,engagement_recovery,Engagement Recovery — Eiger Cloud Services,Stakeholder engagement restored to healthy levels after CSM intervention.,414442.11,resolved,intervention_auto_recovery_445002_1
445003,2026-02-27,revenue_at_risk,Churn risk identified — Jungfrau Fintech,Account showing signs of churn. ARR at risk.,-2250000.0,open,intervention_sig_445003_1
445003,2026-03-02,engagement_decline,Engagement declining — Jungfrau Fintech,Stakeholder engagement dropped significantly.,-450000.0,in_progress,intervention_sig_445003_1
445003,2026-03-04,renewal_uncertainty,Renewal at risk — Jungfrau Fintech,Renewal timeline uncertain due to unresolved issues.,-1350000.0,open,intervention_sig_445003_1
