signal_id,account_id,signal_date,signal_type,stakeholder_level,stakeholder_title,content,sentiment,sentiment_score,keywords,is_narrative_signal
SIG-17001-2024-09-05-1,17001,2024-09-05,meeting,Director,Director ML,"Great QBR, discussing expansion",positive,0.85,"expansion,growth",False
SIG-17001-2024-01-02-2,17001,2024-01-02,meeting,Manager,VP Engineering,Training session completed,neutral,0.26,,True
SIG-17001-2024-05-07-3,17001,2024-05-07,call,Director,IT Manager,Concerns about performance,negative,-0.98,,False
SIG-17001-2024-05-29-4,17001,2024-05-29,slack,Manager,CEO,Thinking about additional use cases,positive,0.99,growth,True
SIG-17001-2024-05-07-5,17001,2024-05-07,slack,Director,VP Engineering,Evaluating alternatives,negative,-0.6,,True
SIG-17001-2024-07-21-6,17001,2024-07-21,meeting,Manager,CFO,Performance improvements noted,positive,0.75,growth,False
SIG-17001-2024-04-11-7,17001,2024-04-11,meeting,VP,CTO,Technical issues reported,negative,-0.41,,False
SIG-17001-2024-04-28-8,17001,2024-04-28,meeting,C-suite,Engineering Manager,Evaluating alternatives,negative,-0.67,,True
SIG-17001-2024-02-11-9,17001,2024-02-11,email,Director,Director ML,Want to add more GPUs,positive,0.8,growth,False
SIG-17001-2024-09-08-10,17001,2024-09-08,email,VP,IT Manager,Budget approved for growth,positive,0.87,"budget,growth",True
SIG-17001-2024-05-24-11,17001,2024-05-24,email,VP,CTO,Support ticket escalation,negative,-0.84,,True
SIG-17001-2024-06-20-12,17001,2024-06-20,slack,VP,IT Manager,Training session completed,neutral,-0.12,,True
SIG-17001-2024-02-12-13,17001,2024-02-12,meeting,Director,Director ML,Technical review meeting,neutral,0.14,,True
SIG-17001-2024-07-19-14,17001,2024-07-19,call,Director,Operations Manager,Technical issues reported,negative,-0.75,,False
SIG-17001-2024-01-13-15,17001,2024-01-13,slack,Manager,IT Manager,Technical review meeting,neutral,0.12,,False
SIG-17001-2024-11-10-16,17001,2024-11-10,slack,Director,Director Infrastructure,Recovery plan discussion,neutral,0.08,recovery,True
SIG-17001-2024-12-07-17,17001,2024-12-07,slack,C-suite,Engineering Manager,"Great QBR, discussing expansion",positive,0.74,"expansion,growth",False
SIG-17001-2024-04-30-18,17001,2024-04-30,slack,Manager,Engineering Manager,Concerns about performance,negative,-0.83,,False
SIG-17001-2024-08-08-19,17001,2024-08-08,meeting,C-suite,CFO,Want to add more GPUs,positive,0.54,growth,False
SIG-17001-2024-07-31-20,17001,2024-07-31,meeting,C-suite,Operations Manager,Expansion approved for Q3,positive,0.85,"expansion,growth",True
SIG-17001-2024-10-28-21,17001,2024-10-28,slack,VP,Operations Manager,Expansion approved for Q4,positive,0.91,"expansion,growth",True
SIG-17001-2024-03-12-22,17001,2024-03-12,slack,VP,CFO,Thinking about additional use cases,positive,0.91,growth,True
SIG-17002-2024-08-17-23,17002,2024-08-17,slack,Director,Engineering Manager,Technical review meeting,neutral,0.03,,True
SIG-17002-2024-11-17-24,17002,2024-11-17,meeting,Manager,Engineering Manager,Want to add more GPUs,positive,0.54,growth,True
SIG-17002-2024-03-18-25,17002,2024-03-18,email,Director,VP Engineering,Checking in on project status,neutral,0.07,,True
SIG-17002-2024-08-25-26,17002,2024-08-25,meeting,C-suite,Director Infrastructure,Evaluating alternatives,negative,-0.95,,False
SIG-17002-2024-05-17-27,17002,2024-05-17,email,C-suite,Operations Manager,Recovery plan discussion,neutral,-0.14,recovery,False
SIG-17002-2024-06-27-28,17002,2024-06-27,slack,Director,CEO,Want to add more GPUs,positive,0.71,growth,True
SIG-17002-2024-12-31-29,17002,2024-12-31,meeting,C-suite,Director Infrastructure,Performance improvements noted,positive,0.57,growth,False
SIG-17002-2024-08-30-30,17002,2024-08-30,slack,C-suite,CTO,"Great QBR, discussing expansion",positive,0.55,"expansion,growth",True
SIG-17002-2024-09-15-31,17002,2024-09-15,call,Director,CEO,Want to add more GPUs,positive,0.81,growth,False
SIG-17002-2024-11-24-32,17002,2024-11-24,meeting,Manager,CTO,Champion advocating for more investment,positive,0.84,growth,False
SIG-17002-2024-10-18-33,17002,2024-10-18,email,Director,Director Infrastructure,"Great QBR, discussing expansion",positive,0.64,"expansion,growth",True
SIG-17002-2024-06-07-34,17002,2024-06-07,meeting,Manager,Director Infrastructure,Technical review meeting,neutral,-0.26,,True
SIG-17002-2024-05-19-35,17002,2024-05-19,call,VP,CEO,Technical review meeting,neutral,0.24,,True
SIG-17002-2024-10-30-36,17002,2024-10-30,slack,C-suite,Operations Manager,Champion advocating for more investment,positive,1.0,growth,False
SIG-17002-2024-04-03-37,17002,2024-04-03,slack,C-suite,Director ML,Status update meeting,neutral,-0.12,,False
SIG-17002-2024-12-07-38,17002,2024-12-07,call,C-suite,Engineering Manager,Technical review meeting,neutral,0.16,,True
SIG-17002-2024-10-13-39,17002,2024-10-13,call,VP,Operations Manager,Budget constraints mentioned,negative,-0.54,budget,False
SIG-17003-2024-05-29-40,17003,2024-05-29,email,Manager,IT Manager,Service degradation reported,negative,-0.54,,False
SIG-17003-2024-02-16-41,17003,2024-02-16,call,C-suite,Engineering Manager,Budget approved for growth,positive,0.75,"budget,growth",False
SIG-17003-2024-02-02-42,17003,2024-02-02,email,Manager,Operations Manager,Thinking about additional use cases,positive,0.99,growth,False
SIG-17003-2024-04-16-43,17003,2024-04-16,email,Director,Director Infrastructure,Checking in on project status,neutral,0.22,,True
SIG-17003-2024-09-06-44,17003,2024-09-06,call,Manager,Director Infrastructure,Technical review meeting,neutral,0.24,,False
SIG-17003-2024-07-03-45,17003,2024-07-03,slack,Director,CFO,Regular check-in call,neutral,0.24,,False
SIG-17003-2024-07-21-46,17003,2024-07-21,call,Manager,Engineering Manager,Concerns about performance,negative,-0.95,,False
SIG-17003-2024-07-27-47,17003,2024-07-27,email,Director,CFO,Churn risk discussed,negative,-0.64,,True
SIG-17003-2024-09-20-48,17003,2024-09-20,email,Manager,Director ML,Performance improvements noted,positive,0.54,growth,True
SIG-17003-2024-08-25-49,17003,2024-08-25,email,VP,IT Manager,Regular check-in call,neutral,0.02,,False
SIG-17003-2024-05-25-50,17003,2024-05-25,call,Manager,CEO,Regular check-in call,neutral,-0.04,,True
SIG-17003-2024-02-27-51,17003,2024-02-27,slack,VP,CTO,Status update meeting,neutral,0.03,,False
SIG-17003-2024-04-16-52,17003,2024-04-16,slack,C-suite,Director Infrastructure,Budget approved for growth,positive,0.64,"budget,growth",True
SIG-17003-2024-08-09-53,17003,2024-08-09,email,C-suite,VP Engineering,Churn risk discussed,negative,-0.41,,True
SIG-17003-2024-01-21-54,17003,2024-01-21,slack,VP,CFO,Concerns about performance,negative,-0.47,,False
SIG-17003-2024-06-02-55,17003,2024-06-02,call,Director,CEO,Recovery plan discussion,neutral,-0.0,recovery,False
SIG-17003-2024-07-04-56,17003,2024-07-04,email,Director,Director ML,Recovery plan working well,positive,0.57,"growth,recovery",True
SIG-17003-2024-06-14-57,17003,2024-06-14,email,VP,Engineering Manager,Churn risk discussed,negative,-0.98,,False
SIG-17003-2024-11-30-58,17003,2024-11-30,call,Director,CTO,Checking in on project status,neutral,0.12,,False
SIG-17003-2024-04-09-59,17003,2024-04-09,call,VP,Director ML,Performance improvements noted,positive,0.91,growth,True
SIG-17003-2024-05-19-60,17003,2024-05-19,email,Director,CTO,Training session completed,neutral,0.1,,True
SIG-17004-2024-09-05-61,17004,2024-09-05,call,C-suite,VP Engineering,Critical incident occurred,negative,-0.8,,False
SIG-17004-2024-09-29-62,17004,2024-09-29,email,C-suite,Engineering Manager,Technical review meeting,neutral,0.06,,True
SIG-17004-2024-07-21-63,17004,2024-07-21,call,C-suite,CFO,Thinking about additional use cases,positive,0.6,growth,False
SIG-17004-2024-03-09-64,17004,2024-03-09,email,VP,CFO,Recovery plan working well,positive,0.87,"growth,recovery",False
SIG-17004-2024-06-15-65,17004,2024-06-15,email,Manager,IT Manager,Service degradation reported,negative,-0.64,,True
SIG-17004-2024-05-13-66,17004,2024-05-13,call,C-suite,Operations Manager,Critical incident occurred,negative,-0.88,,True
SIG-17004-2024-12-02-67,17004,2024-12-02,email,VP,IT Manager,Training session completed,neutral,-0.23,,True
SIG-17004-2024-03-05-68,17004,2024-03-05,email,Manager,Director Infrastructure,Budget constraints mentioned,negative,-0.97,budget,False
SIG-17004-2024-01-02-69,17004,2024-01-02,call,C-suite,Director ML,Status update meeting,neutral,0.29,,False
SIG-17004-2024-11-19-70,17004,2024-11-19,slack,C-suite,Engineering Manager,Recovery plan working well,positive,0.65,"growth,recovery",True
SIG-17004-2024-07-31-71,17004,2024-07-31,email,C-suite,Operations Manager,Regular check-in call,neutral,0.26,,False
SIG-17004-2024-02-11-72,17004,2024-02-11,call,VP,Engineering Manager,Support ticket escalation,negative,-0.56,,True
SIG-17004-2024-09-11-73,17004,2024-09-11,email,Director,Director Infrastructure,Want to add more GPUs,positive,0.51,growth,False
SIG-17004-2024-07-10-74,17004,2024-07-10,meeting,Manager,Engineering Manager,Performance improvements noted,positive,0.78,growth,True
SIG-17004-2024-02-26-75,17004,2024-02-26,call,Manager,Engineering Manager,Checking in on project status,neutral,-0.17,,True
SIG-17004-2024-12-08-76,17004,2024-12-08,slack,C-suite,CTO,Technical review meeting,neutral,-0.26,,True
SIG-17004-2024-12-25-77,17004,2024-12-25,email,Director,CTO,Service degradation reported,negative,-0.55,,False
SIG-17004-2024-11-09-78,17004,2024-11-09,email,VP,CFO,Support ticket escalation,negative,-0.51,,False
SIG-17004-2024-02-14-79,17004,2024-02-14,slack,Director,CEO,Regular check-in call,neutral,0.17,,True
SIG-17005-2024-10-07-80,17005,2024-10-07,email,Manager,CEO,"Great QBR, discussing expansion",positive,0.52,"expansion,growth",False
SIG-17005-2024-11-07-81,17005,2024-11-07,call,C-suite,IT Manager,Want to add more GPUs,positive,0.92,growth,True
SIG-17005-2024-05-04-82,17005,2024-05-04,call,VP,Director Infrastructure,Budget constraints mentioned,negative,-0.8,budget,False
SIG-17005-2024-10-31-83,17005,2024-10-31,meeting,C-suite,Operations Manager,Recovery plan discussion,neutral,-0.12,recovery,False
SIG-17005-2024-09-18-84,17005,2024-09-18,email,Director,Director ML,Churn risk discussed,negative,-0.55,,False
SIG-17005-2024-10-23-85,17005,2024-10-23,slack,Director,CFO,Technical review meeting,neutral,0.27,,False
SIG-17005-2024-03-27-86,17005,2024-03-27,email,C-suite,CFO,Concerns about performance,negative,-0.94,,False
SIG-17005-2024-12-03-87,17005,2024-12-03,call,Manager,CTO,Technical review meeting,neutral,-0.16,,False
SIG-17005-2024-10-02-88,17005,2024-10-02,slack,C-suite,CTO,Performance improvements noted,positive,0.54,growth,False
SIG-17005-2024-10-31-89,17005,2024-10-31,slack,VP,Director ML,Technical issues reported,negative,-0.31,,False
SIG-17005-2024-09-21-90,17005,2024-09-21,meeting,Director,VP Engineering,Performance improvements noted,positive,0.92,growth,True
SIG-17005-2024-01-17-91,17005,2024-01-17,meeting,Manager,Director Infrastructure,Technical review meeting,neutral,-0.21,,True
SIG-17005-2024-03-05-92,17005,2024-03-05,email,Manager,CTO,Technical review meeting,neutral,0.24,,True
SIG-17005-2024-05-20-93,17005,2024-05-20,slack,C-suite,Engineering Manager,Budget constraints mentioned,negative,-0.35,budget,False
SIG-17005-2024-05-30-94,17005,2024-05-30,slack,VP,IT Manager,Regular check-in call,neutral,0.05,,True
SIG-17005-2024-01-30-95,17005,2024-01-30,meeting,C-suite,CFO,Recovery plan discussion,neutral,0.05,recovery,False
SIG-17005-2024-03-17-96,17005,2024-03-17,call,C-suite,VP Engineering,Technical issues reported,negative,-0.52,,False
SIG-17005-2024-04-06-97,17005,2024-04-06,slack,C-suite,CEO,Expansion approved for Q2,positive,0.77,"expansion,growth",True
SIG-17005-2024-06-17-98,17005,2024-06-17,meeting,Manager,Director Infrastructure,"Great QBR, discussing expansion",positive,0.68,"expansion,growth",True
SIG-17005-2024-10-05-99,17005,2024-10-05,meeting,VP,CFO,Regular check-in call,neutral,0.18,,True
SIG-17005-2024-09-11-100,17005,2024-09-11,email,VP,CFO,Regular check-in call,neutral,-0.29,,True
SIG-17005-2024-11-20-101,17005,2024-11-20,slack,Manager,IT Manager,Status update meeting,neutral,0.0,,False
SIG-17005-2024-05-10-102,17005,2024-05-10,email,Director,CTO,Service degradation reported,negative,-0.48,,True
SIG-17005-2024-10-31-103,17005,2024-10-31,email,Manager,VP Engineering,Expansion approved for Q4,positive,0.97,"expansion,growth",True
SIG-17005-2024-09-02-104,17005,2024-09-02,meeting,C-suite,Engineering Manager,"Great QBR, discussing expansion",positive,0.52,"expansion,growth",True
SIG-17006-2024-05-27-105,17006,2024-05-27,slack,Director,Operations Manager,Churn risk discussed,negative,-0.34,,True
SIG-17006-2024-12-04-106,17006,2024-12-04,call,C-suite,Director ML,Technical review meeting,neutral,0.21,,True
SIG-17006-2024-05-04-107,17006,2024-05-04,slack,Director,CFO,Technical review meeting,neutral,0.25,,False
SIG-17006-2024-04-21-108,17006,2024-04-21,slack,VP,VP Engineering,Status update meeting,neutral,0.09,,False
SIG-17006-2024-04-26-109,17006,2024-04-26,email,VP,CTO,Performance improvements noted,positive,0.63,growth,True
