account_id,event_date,event_type,description,stakeholder_name,sentiment_shift,channel,duration_minutes,outcome,source_platform
332001,2025-06-26,meeting,QBR with CTO and VP Engineering reviews current infrastructure health and AI roadmap. VP Engineering shares plans to onboard 3 new ML teams.,VP Engineering,0.1,in_person,90,,csv_import
332001,2025-07-12,decision,VP Engineering proposes POC for new large-language-model fine-tuning workloads on existing GPU cluster. CSM facilitates architecture review to ensure success.,VP Engineering,0.15,email,45,,csv_import
332001,2025-08-01,milestone,POC workloads deployed successfully. GPU utilization climbs from 55% to 62%. VP Engineering reports positive results to CTO.,VP Engineering,0.1,video_call,45,,csv_import
332001,2025-08-27,signal,GPU utilization crosses 70% for the first time. Workload Diversity Score increases to 4 distinct workload types. AI platform showing strong adoption.,VP Engineering,0.1,email,90,,csv_import
332001,2025-09-12,milestone,GPU utilization hits 75% -- the key expansion threshold. Capacity utilization at 78%. Training job completion rate holds strong at 93%. Champion's teams are scaling rapidly.,VP Engineering,0.15,video_call,45,,csv_import
332001,2025-10-05,meeting,CSM-led capacity planning session with VP Engineering and Infrastructure Director. Show capacity runway depletes in 10 weeks at current growth rate. Champion agrees to raise expansion budget request.,VP Engineering,0.1,email,45,,csv_import
332001,2025-10-25,signal,GPU utilization hits 85%. Training job completion rate drops to 82% as jobs queue for resources. Inference latency (P95) climbs from 40ms to 65ms. First complaints from ML teams.,VP Engineering,-0.15,slack,90,,csv_import
332001,2025-11-06,incident,Critical GPU memory exhaustion incident. Two production inference endpoints go down for 3 hours. Thermal management score degrades as GPUs run at sustained high load. Infrastructure Director raises concerns about reliability.,VP Engineering,-0.25,email,45,,csv_import
332001,2025-11-20,escalation,"VP Engineering escalates to CTO: current infrastructure cannot support AI roadmap. Without expansion, 2 planned ML projects will be delayed 6 months. CTO requests expansion proposal within 2 weeks.",VP Engineering,-0.1,phone,60,,csv_import
332001,2025-12-21,decision,CTO approves $5.2M expansion budget. Infrastructure Director begins procurement process. CSM provides detailed sizing recommendation based on workload growth projections.,VP Engineering,0.2,slack,90,,csv_import
332001,2026-01-02,meeting,Technical deep-dive with Infrastructure Director on expansion architecture. CSM arranges reference call with similar customer who expanded successfully. Pricing negotiation begins.,VP Engineering,0.15,in_person,45,,csv_import
332001,2026-01-11,milestone,Interim GPU scheduling optimization deployed. Training job completion rate recovers to 88%. Inference latency improves to 52ms. Demonstrates CS team's ability to deliver value under pressure.,VP Engineering,0.1,slack,30,,csv_import
332001,2026-01-28,decision,Infrastructure Director signs $5.2M expansion purchase order. 128 additional GPUs across 4 new racks. Deployment timeline: 8 weeks to full production.,VP Engineering,0.3,video_call,45,,csv_import
332001,2026-02-12,milestone,First 2 expansion racks commissioned and online. GPU utilization drops from 88% to 68% as capacity doubles. Training job queues clear immediately. Performance metrics normalize across the board.,VP Engineering,0.2,slack,30,,csv_import
332001,2026-02-28,milestone,"All 4 expansion racks commissioned. Full deployment complete. VP Engineering presents expansion success to board, crediting CS partnership. Account health at 88, expansion probability resets for next cycle.",VP Engineering,0.15,slack,90,,csv_import
332002,2025-06-29,meeting,QBR with CTO and VP Engineering reviews current infrastructure health and AI roadmap. VP Engineering shares plans to onboard 3 new ML teams.,VP Engineering,0.1,email,30,,csv_import
332002,2025-07-09,decision,VP Engineering proposes POC for new large-language-model fine-tuning workloads on existing GPU cluster. CSM facilitates architecture review to ensure success.,VP Engineering,0.15,phone,60,,csv_import
