account_id,week_number,milestone_date,milestone_type,milestone_outcome,leading_indicators,arr_impact,confidence_at_time,primary_drivers,signal_breakdown
10001,3,2024-01-15,churn_early_warning,at_risk,"[""Low GPU utilization: 65.48%"", ""Negative workload growth: 12.22%"", ""Low NPS: 42.58"", ""Health: 66.42""]",0,0.6,"[{""driver"": ""Low product adoption"", ""weight"": 0.4}, {""driver"": ""Poor customer sentiment"", ""weight"": 0.35}, {""driver"": ""Declining usage"", ""weight"": 0.25}]",
10001,28,2024-07-08,churn_contract_terminated,churned,"[""Contract terminated"", ""Customer migrated to AWS"", ""Final health: 31.3""]",-3800000,1.0,,
10002,25,2024-06-17,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 39.08"", ""Strategic alignment: 46.72""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10002,26,2024-06-24,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 52.53"", ""Strategic alignment: 63.31""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10002,27,2024-07-01,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 51.93"", ""Strategic alignment: 60.98""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10002,29,2024-07-15,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 45.36"", ""Strategic alignment: 53.36""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10002,32,2024-08-05,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 93.24"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10002,36,2024-09-02,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 98.85"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10003,18,2024-04-29,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 44.72"", ""Strategic alignment: 61.07""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10003,18,2024-04-29,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 44.72"", ""Strategic alignment: 61.07""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10003,20,2024-05-13,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 45.95"", ""Strategic alignment: 59.52""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10003,25,2024-06-17,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 39.08"", ""Strategic alignment: 46.72""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10003,27,2024-07-01,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 51.93"", ""Strategic alignment: 60.98""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10003,31,2024-07-29,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 99.32"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10003,36,2024-09-02,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 98.85"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10003,36,2024-09-02,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 98.85"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
