signal_id,account_id,signal_date,signal_type,content,sentiment,sentiment_score,arc_id,story_phase,linked_node_id,signal_ref
intervention_sig_445001_1,445001,2026-01-15,champion_departure,"VP Product Marco Bianchi departed, key platform champion",neutral,0.1,champion_loss,,,intervention_sig_445001_1
intervention_sig_445001_2,445001,2026-01-28,usage_decline,DAU rate dropped from 72% to 28% in 2 weeks,neutral,0.1,champion_loss,,,intervention_sig_445001_2
intervention_sig_445001_3,445001,2026-02-10,competitor_mention,New engineering lead evaluating competitor SaaS platform,neutral,0.1,champion_loss,,,intervention_sig_445001_3
intervention_narrative_sig_445001_4,445001,2026-02-27,kpi_decline,KPI metrics declining below threshold,negative,-0.49,champion_loss,warning,,intervention_narrative_sig_445001_4
intervention_narrative_sig_445001_5,445001,2026-03-06,support_escalation,Support ticket escalated to management,negative,-0.58,champion_loss,warning,,intervention_narrative_sig_445001_5
intervention_sig_445001_6,445001,2026-02-25,customer_feedback,Escalation review meeting conducted,negative,-0.5,champion_loss,,,intervention_sig_445001_6
intervention_sig_445001_7,445001,2026-02-26,meeting,Escalation review meeting conducted,negative,-0.35,champion_loss,,,intervention_sig_445001_7
intervention_sig_445001_8,445001,2026-03-02,observation,Escalation review meeting conducted,neutral,0.0,champion_loss,,,intervention_sig_445001_8
intervention_sig_445001_9,445001,2026-03-24,customer_feedback,Stakeholder alignment meeting scheduled,negative,-0.51,champion_loss,,,intervention_sig_445001_9
intervention_sig_445001_10,445001,2026-03-30,observation,Support ticket volume above normal,negative,-0.47,champion_loss,,,intervention_sig_445001_10
intervention_sig_445001_11,445001,2026-04-22,customer_feedback,Performance metrics under review,negative,-0.45,champion_loss,,,intervention_sig_445001_11
intervention_sig_445001_12,445001,2026-05-07,observation,Support ticket volume above normal,neutral,0.14,champion_loss,,,intervention_sig_445001_12
intervention_sig_445001_13,445001,2026-05-04,observation,Escalation review meeting conducted,negative,-0.46,champion_loss,,,intervention_sig_445001_13
intervention_sig_445001_14,445001,2026-06-11,customer_feedback,Escalation review meeting conducted,neutral,0.01,champion_loss,,,intervention_sig_445001_14
intervention_sig_445001_15,445001,2026-06-03,customer_feedback,Stakeholder alignment meeting scheduled,neutral,0.03,champion_loss,,,intervention_sig_445001_15
intervention_sig_445001_16,445001,2026-07-11,meeting,Support ticket volume above normal,negative,-0.44,champion_loss,,,intervention_sig_445001_16
intervention_sig_445001_17,445001,2026-07-17,meeting,Support ticket volume above normal,negative,-0.55,champion_loss,,,intervention_sig_445001_17
intervention_auto_recovery_445001_18,445001,2026-02-12,executive_engagement,Executive sponsor engagement: VP Finance joined monthly review cadence.,positive,0.76,champion_loss,recovery,,intervention_auto_recovery_445001_18
intervention_auto_recovery_445001_19,445001,2026-02-28,kpi_recovery,GPU utilization recovering: 48% -> 67% after PB-03 optimization playbook.,positive,0.75,champion_loss,recovery,,intervention_auto_recovery_445001_19
intervention_auto_recovery_445001_20,445001,2026-03-15,csm_intervention,New CSM Sarah Rivera assigned. First QBR scheduled for next week.,positive,0.7,champion_loss,recovery,,intervention_auto_recovery_445001_20
intervention_sig_445002_21,445002,2026-01-10,feature_adoption_drop,Feature adoption breadth dropped from 62% to 22%,neutral,0.1,infrastructure_decay,,,intervention_sig_445002_21
intervention_sig_445002_22,445002,2026-01-20,support_spike,Support tickets up 3x after migration,neutral,0.1,infrastructure_decay,,,intervention_sig_445002_22
intervention_sig_445002_23,445002,2026-02-15,nps_decline,NPS dropped from 45 to 12,neutral,0.1,infrastructure_decay,,,intervention_sig_445002_23
intervention_narrative_sig_445002_24,445002,2026-02-27,kpi_decline,KPI metrics declining below threshold,negative,-0.51,infrastructure_decay,warning,,intervention_narrative_sig_445002_24
intervention_narrative_sig_445002_25,445002,2026-03-06,support_escalation,Support ticket escalated to management,negative,-0.48,infrastructure_decay,warning,,intervention_narrative_sig_445002_25
intervention_sig_445002_26,445002,2026-01-29,meeting,Performance metrics under review,negative,-0.52,infrastructure_decay,,,intervention_sig_445002_26
intervention_sig_445002_27,445002,2026-01-31,health_check,Support ticket volume above normal,neutral,0.14,infrastructure_decay,,,intervention_sig_445002_27
intervention_sig_445002_28,445002,2026-03-20,health_check,Stakeholder alignment meeting scheduled,neutral,0.1,infrastructure_decay,,,intervention_sig_445002_28
intervention_sig_445002_29,445002,2026-02-28,observation,Performance metrics under review,negative,-0.59,infrastructure_decay,,,intervention_sig_445002_29
intervention_sig_445002_30,445002,2026-04-09,meeting,Stakeholder alignment meeting scheduled,neutral,0.12,infrastructure_decay,,,intervention_sig_445002_30
intervention_sig_445002_31,445002,2026-04-13,meeting,Performance metrics under review,negative,-0.53,infrastructure_decay,,,intervention_sig_445002_31
intervention_sig_445002_32,445002,2026-05-08,health_check,Support ticket volume above normal,neutral,0.06,infrastructure_decay,,,intervention_sig_445002_32
intervention_sig_445002_33,445002,2026-05-21,customer_feedback,Performance metrics under review,negative,-0.53,infrastructure_decay,,,intervention_sig_445002_33
intervention_sig_445002_34,445002,2026-06-10,observation,Performance metrics under review,neutral,0.22,infrastructure_decay,,,intervention_sig_445002_34
intervention_sig_445002_35,445002,2026-06-12,customer_feedback,Support ticket volume above normal,neutral,0.04,infrastructure_decay,,,intervention_sig_445002_35
intervention_sig_445002_36,445002,2026-07-25,observation,Support ticket volume above normal,negative,-0.48,infrastructure_decay,,,intervention_sig_445002_36
intervention_sig_445002_37,445002,2026-07-17,health_check,Stakeholder alignment meeting scheduled,negative,-0.5,infrastructure_decay,,,intervention_sig_445002_37
intervention_auto_recovery_445002_38,445002,2026-02-09,kpi_recovery,GPU utilization recovering: 48% -> 67% after PB-03 optimization playbook.,positive,0.66,infrastructure_decay,recovery,,intervention_auto_recovery_445002_38
intervention_auto_recovery_445002_39,445002,2026-02-21,churn_averted,Churn risk mitigated. Retention plan approved with 12-month commitment.,positive,0.82,infrastructure_decay,recovery,,intervention_auto_recovery_445002_39
intervention_auto_recovery_445002_40,445002,2026-03-06,csm_intervention,New CSM Sarah Rivera assigned. First QBR scheduled for next week.,positive,0.82,infrastructure_decay,recovery,,intervention_auto_recovery_445002_40
intervention_auto_recovery_445002_41,445002,2026-03-18,executive_engagement,Executive sponsor engagement: VP Finance joined monthly review cadence.,positive,0.6,infrastructure_decay,recovery,,intervention_auto_recovery_445002_41
intervention_sig_445003_42,445003,2026-02-01,budget_review,CFO initiated SaaS spend audit across all platforms,neutral,0.1,budget_pressure,,,intervention_sig_445003_42
intervention_sig_445003_43,445003,2026-02-20,login_decline,Login frequency dropped 55% in 3 weeks,neutral,0.1,budget_pressure,,,intervention_sig_445003_43
intervention_sig_445003_44,445003,2026-03-01,renewal_risk,Procurement flagged renewal for competitive bid,neutral,0.1,budget_pressure,,,intervention_sig_445003_44
intervention_narrative_sig_445003_45,445003,2026-02-27,kpi_decline,KPI metrics declining below threshold,negative,-0.68,budget_pressure,warning,,intervention_narrative_sig_445003_45
intervention_narrative_sig_445003_46,445003,2026-03-06,support_escalation,Support ticket escalated to management,negative,-0.55,budget_pressure,warning,,intervention_narrative_sig_445003_46
intervention_sig_445003_47,445003,2026-02-14,meeting,Support ticket volume above normal,negative,-0.53,budget_pressure,,,intervention_sig_445003_47
intervention_sig_445003_48,445003,2026-01-30,observation,Performance metrics under review,neutral,0.03,budget_pressure,,,intervention_sig_445003_48
intervention_sig_445003_49,445003,2026-03-23,meeting,Performance metrics under review,negative,-0.59,budget_pressure,,,intervention_sig_445003_49
intervention_sig_445003_50,445003,2026-03-18,health_check,Support ticket volume above normal,negative,-0.37,budget_pressure,,,intervention_sig_445003_50
intervention_sig_445003_51,445003,2026-04-08,customer_feedback,Stakeholder alignment meeting scheduled,neutral,0.14,budget_pressure,,,intervention_sig_445003_51
intervention_sig_445003_52,445003,2026-04-13,customer_feedback,Performance metrics under review,negative,-0.64,budget_pressure,,,intervention_sig_445003_52
intervention_sig_445003_53,445003,2026-05-12,meeting,Performance metrics under review,neutral,-0.04,budget_pressure,,,intervention_sig_445003_53
intervention_sig_445003_54,445003,2026-05-15,health_check,Performance metrics under review,negative,-0.56,budget_pressure,,,intervention_sig_445003_54
intervention_sig_445003_55,445003,2026-06-22,meeting,Support ticket volume above normal,neutral,0.1,budget_pressure,,,intervention_sig_445003_55
intervention_sig_445003_56,445003,2026-06-09,customer_feedback,Support ticket volume above normal,negative,-0.48,budget_pressure,,,intervention_sig_445003_56
intervention_sig_445003_57,445003,2026-07-16,observation,Performance metrics under review,negative,-0.52,budget_pressure,,,intervention_sig_445003_57
intervention_sig_445003_58,445003,2026-06-29,health_check,Performance metrics under review,neutral,0.02,budget_pressure,,,intervention_sig_445003_58
intervention_auto_recovery_445003_59,445003,2026-02-09,kpi_recovery,GPU utilization recovering: 48% -> 67% after PB-03 optimization playbook.,positive,0.74,budget_pressure,recovery,,intervention_auto_recovery_445003_59
intervention_auto_recovery_445003_60,445003,2026-02-21,executive_engagement,Executive sponsor engagement: VP Finance joined monthly review cadence.,positive,0.64,budget_pressure,recovery,,intervention_auto_recovery_445003_60
intervention_auto_recovery_445003_61,445003,2026-03-06,churn_averted,Churn risk mitigated. Retention plan approved with 12-month commitment.,positive,0.95,budget_pressure,recovery,,intervention_auto_recovery_445003_61
intervention_auto_recovery_445003_62,445003,2026-03-18,csm_intervention,New CSM Sarah Rivera assigned. First QBR scheduled for next week.,positive,0.74,budget_pressure,recovery,,intervention_auto_recovery_445003_62
intervention_sig_445004_63,445004,2026-02-05,competitor_evaluation,CMO requested competitive analysis vs HubSpot Enterprise,neutral,0.1,competitor_evaluation,,,intervention_sig_445004_63
intervention_sig_445004_64,445004,2026-02-28,engagement_drop,"QBR attendance dropped, 2 meetings rescheduled",neutral,0.1,competitor_evaluation,,,intervention_sig_445004_64
intervention_narrative_sig_445004_65,445004,2026-02-27,critical_incident,Critical service incident reported,negative,-0.83,competitor_evaluation,crisis,,intervention_narrative_sig_445004_65
intervention_narrative_sig_445004_66,445004,2026-03-02,stakeholder_escalation,Stakeholder escalated concerns,negative,-0.53,competitor_evaluation,crisis,,intervention_narrative_sig_445004_66
intervention_sig_445004_67,445004,2026-02-03,observation,Usage patterns reviewed with team,neutral,0.23,competitor_evaluation,,,intervention_sig_445004_67
intervention_sig_445004_68,445004,2026-02-21,meeting,Technical review session held,neutral,0.21,competitor_evaluation,,,intervention_sig_445004_68
intervention_sig_445004_69,445004,2026-03-15,customer_feedback,Usage patterns reviewed with team,neutral,0.18,competitor_evaluation,,,intervention_sig_445004_69
intervention_sig_445004_70,445004,2026-03-22,observation,Renewal discussion in progress,neutral,0.31,competitor_evaluation,,,intervention_sig_445004_70
intervention_sig_445004_71,445004,2026-04-02,health_check,Usage patterns reviewed with team,neutral,0.08,competitor_evaluation,,,intervention_sig_445004_71
intervention_sig_445004_72,445004,2026-04-20,meeting,Quarterly check-in completed,neutral,-0.01,competitor_evaluation,,,intervention_sig_445004_72
intervention_sig_445004_73,445004,2026-05-07,meeting,Renewal discussion in progress,neutral,0.07,competitor_evaluation,,,intervention_sig_445004_73
intervention_sig_445004_74,445004,2026-05-14,observation,Quarterly check-in completed,neutral,0.11,competitor_evaluation,,,intervention_sig_445004_74
intervention_sig_445004_75,445004,2026-06-15,health_check,Renewal discussion in progress,negative,-0.47,competitor_evaluation,,,intervention_sig_445004_75
intervention_sig_445004_76,445004,2026-06-14,customer_feedback,Quarterly check-in completed,negative,-0.42,competitor_evaluation,,,intervention_sig_445004_76
intervention_sig_445004_77,445004,2026-07-05,health_check,Renewal discussion in progress,neutral,0.29,competitor_evaluation,,,intervention_sig_445004_77
intervention_sig_445004_78,445004,2026-07-14,meeting,Usage patterns reviewed with team,neutral,0.27,competitor_evaluation,,,intervention_sig_445004_78
intervention_auto_recovery_445004_79,445004,2026-02-12,health_improvement,Account health trending upward: +12 points over 4 weeks.,positive,0.74,competitor_evaluation,recovery,,intervention_auto_recovery_445004_79
intervention_auto_recovery_445004_80,445004,2026-02-28,champion_reengagement,Champion Sarah Chen re-engaged. Quarterly roadmap session completed.,positive,0.75,competitor_evaluation,recovery,,intervention_auto_recovery_445004_80
intervention_auto_recovery_445004_81,445004,2026-03-15,deployment_improvement,Deployment velocity improved 30% after PB-01 acceleration playbook.,positive,0.81,competitor_evaluation,recovery,,intervention_auto_recovery_445004_81
intervention_sig_445005_82,445005,2026-01-25,onboarding_delay,Onboarding completion at 42% after 90 days (target: 85%),neutral,0.1,stalled_deployment,,,intervention_sig_445005_82
intervention_sig_445005_83,445005,2026-02-15,ttfv_exceeded,TTFV at 78 days vs 21-day target,neutral,0.1,stalled_deployment,,,intervention_sig_445005_83
intervention_narrative_sig_445005_84,445005,2026-02-27,critical_incident,Critical service incident reported,negative,-0.72,stalled_deployment,crisis,,intervention_narrative_sig_445005_84
intervention_narrative_sig_445005_85,445005,2026-03-02,stakeholder_escalation,Stakeholder escalated concerns,negative,-0.63,stalled_deployment,crisis,,intervention_narrative_sig_445005_85
intervention_sig_445005_86,445005,2026-02-05,observation,Usage patterns reviewed with team,neutral,0.14,stalled_deployment,,,intervention_sig_445005_86
intervention_sig_445005_87,445005,2026-02-25,customer_feedback,Quarterly check-in completed,negative,-0.42,stalled_deployment,,,intervention_sig_445005_87
intervention_sig_445005_88,445005,2026-03-03,customer_feedback,Quarterly check-in completed,neutral,0.13,stalled_deployment,,,intervention_sig_445005_88
intervention_sig_445005_89,445005,2026-03-12,health_check,Technical review session held,negative,-0.48,stalled_deployment,,,intervention_sig_445005_89
intervention_sig_445005_90,445005,2026-04-17,observation,Renewal discussion in progress,negative,-0.44,stalled_deployment,,,intervention_sig_445005_90
intervention_sig_445005_91,445005,2026-04-19,meeting,Technical review session held,neutral,-0.04,stalled_deployment,,,intervention_sig_445005_91
intervention_sig_445005_92,445005,2026-05-16,meeting,Technical review session held,neutral,0.17,stalled_deployment,,,intervention_sig_445005_92
intervention_sig_445005_93,445005,2026-05-18,customer_feedback,Technical review session held,neutral,0.15,stalled_deployment,,,intervention_sig_445005_93
intervention_sig_445005_94,445005,2026-06-04,health_check,Renewal discussion in progress,neutral,0.19,stalled_deployment,,,intervention_sig_445005_94
intervention_sig_445005_95,445005,2026-06-19,observation,Renewal discussion in progress,neutral,0.05,stalled_deployment,,,intervention_sig_445005_95
intervention_sig_445005_96,445005,2026-07-11,meeting,Quarterly check-in completed,negative,-0.59,stalled_deployment,,,intervention_sig_445005_96
intervention_sig_445005_97,445005,2026-07-11,observation,Renewal discussion in progress,neutral,0.11,stalled_deployment,,,intervention_sig_445005_97
intervention_auto_recovery_445005_98,445005,2026-02-12,champion_reengagement,Champion Robert Kim re-engaged. Quarterly roadmap session completed.,positive,0.7,stalled_deployment,recovery,,intervention_auto_recovery_445005_98
intervention_auto_recovery_445005_99,445005,2026-02-28,deployment_improvement,Deployment velocity improved 30% after PB-01 acceleration playbook.,positive,0.73,stalled_deployment,recovery,,intervention_auto_recovery_445005_99
intervention_auto_recovery_445005_100,445005,2026-03-15,health_improvement,Account health trending upward: +12 points over 4 weeks.,positive,0.73,stalled_deployment,recovery,,intervention_auto_recovery_445005_100
intervention_sig_445006_101,445006,2026-01-30,engagement_decline,Weekly active users down 25% over 8 weeks,neutral,0.1,engagement_decline,,,intervention_sig_445006_101
intervention_sig_445006_102,445006,2026-02-20,csat_drop,CSAT dropped from 4.2 to 3.5,neutral,0.1,engagement_decline,,,intervention_sig_445006_102
intervention_narrative_sig_445006_103,445006,2026-02-27,critical_incident,Critical service incident reported,negative,-0.64,engagement_decline,crisis,,intervention_narrative_sig_445006_103
intervention_narrative_sig_445006_104,445006,2026-03-02,stakeholder_escalation,Stakeholder escalated concerns,negative,-0.63,engagement_decline,crisis,,intervention_narrative_sig_445006_104
intervention_sig_445006_105,445006,2026-01-31,meeting,Renewal discussion in progress,negative,-0.54,engagement_decline,,,intervention_sig_445006_105
intervention_sig_445006_106,445006,2026-02-06,customer_feedback,Technical review session held,neutral,0.09,engagement_decline,,,intervention_sig_445006_106
intervention_sig_445006_107,445006,2026-03-17,health_check,Usage patterns reviewed with team,negative,-0.76,engagement_decline,,,intervention_sig_445006_107
intervention_sig_445006_108,445006,2026-03-11,observation,Usage patterns reviewed with team,neutral,0.02,engagement_decline,,,intervention_sig_445006_108
intervention_sig_445006_109,445006,2026-04-24,customer_feedback,Technical review session held,neutral,0.02,engagement_decline,,,intervention_sig_445006_109
intervention_sig_445006_110,445006,2026-04-20,health_check,Quarterly check-in completed,neutral,0.06,engagement_decline,,,intervention_sig_445006_110
