account_id,customer_id,account_name,account_nickname,industry,industry_subcategory,account_tier,company_size,annual_revenue,employee_count,initial_arr,current_arr,arr_growth_amount,arr_growth_percent,expansion_count,total_expansion_value,average_expansion_value,contraction_count,lifetime_value_3yr,contract_start_date,contract_end_date,contract_term_months,renewal_likelihood,contract_type,payment_terms,billing_frequency,overall_health_score,health_score_trend,health_score_trajectory,nps_score,nps_trend,csat_score,executive_engagement_level,champion_strength,champion_name,champion_tenure_months,champion_risk,csm_assigned,account_executive,solutions_architect,executive_sponsor,executive_sponsor_engagement,qbr_frequency,qbrs_completed_ytd,last_qbr_date,next_qbr_date,gpu_count_initial,gpu_count_current,gpu_type,datacenter_location,datacenter_count,average_gpu_utilization,utilization_trend,workload_types,primary_use_case,technical_complexity,partner_id,partner_name,partner_tier,partner_satisfaction,partner_engagement_level,partner_value_delivered,journey_type,journey_phase,customer_maturity,adoption_stage,time_to_value_days,time_to_production_days,onboarding_completion,feature_adoption_rate,playbook_executions_count,playbook_success_rate,proactive_interventions,reactive_interventions,escalations_ytd,support_tickets_ytd,p1_incidents_ytd,average_resolution_time_hours,churn_risk_level,churn_risk_score,expansion_opportunity,expansion_readiness_score,competitive_risk,competitive_threats,budget_risk,champion_risk_level,strategic_account,reference_customer,case_study_approved,logo_usage_approved,innovation_partner,advisory_board_member,co_marketing_opportunities,previous_vendor,competitive_wins,competitive_losses,win_reasons,differentiation,monthly_active_users,power_users_count,platform_login_frequency,api_usage_volume,training_sessions_completed,certification_count,payment_history,payment_timeliness,days_sales_outstanding,credit_risk,budget_approved_next_year,budget_amount_next_year,first_value_milestone_date,first_expansion_date,strategic_partnership_date,reference_customer_date,key_strengths,key_risks,success_factors,expansion_pipeline,executive_summary,narrative_available,proof_point_category
17001,17,AI Compute Corp,Near-Miss Recovery,AI/ML Research,AI/ML Research - Production,Enterprise,Small (50-100 employees),255329870,1091,2382942,3282312,899370,37.7,1,899370,899370,0,9846936,2024-01-22,2025-01-21,12,72,Enterprise Agreement,Annual,Annual,96,Stable,Excellent,7,Stable,7.4,Low,Moderate,Mr. Williams (VP Engineering),21,High,Sarah Chen,Michael Chen,David Kumar,VP Customer Success,Very High,Never scheduled,4,,,320,429,NVIDIA A100,US-West (Oregon),1,59.0,Stable,"AI Training, LLM Fine-tuning",Self-Driving Vehicle AI Training,Medium,P002,CloudScale Partners,Tier 1,9.4,Good,Low,recovery,Recovery & Stabilization,Intermediate,Failed Adoption,17,26,83,63,6,91,6,4,2,9,2,9.5,Very Low,6,Medium,76,Low,AWS (dormant),High,High,False,False,True,True,False,True,True,On-premises,5,1,,Financial services expertise,20,25,Daily,Low,8,18,Excellent,94,3,None,True,0,2024-01-22,2024-01-22,,,Strong technical team,No executive sponsor,Strong partner,$3M Phase 3 expansion budgeted,AI Compute Corp - Near-Miss Recovery. 37.7% ARR change.,False,Rapid Growth Success
17002,17,CloudScale Dynamics,Expansion Play,Media & Entertainment,Media & Entertainment - Development,Mid-Market,Medium (100-500 employees),268240172,974,4633913,6597379,1963466,42.4,1,1963466,1963466,0,19792137,2024-01-28,2025-01-27,12,73,Standard Agreement,Annual,Annual,84,Declining,Recovery,9,Declining,8.8,Very High,Very Strong,Dr. Brown (Director IT),43,High,Emily Rodriguez,Michael Chen,David Kumar,,None,Never scheduled,2,,2025-03-15,96,201,NVIDIA H100,US-West (California),2,51.5,Recovering,"Financial Modeling, Risk Analysis",AI-Powered Medical Diagnostics,Very High,P003,DataCenter Pros,Tier 2,8.3,Excellent,Medium,strategic_expansion,Recovery & Stabilization,Intermediate,Production,16,16,76,77,9,79,3,4,2,3,1,9.1,Very Low,69,Low,19,Low,,High,Very Low,True,False,False,True,True,False,True,,2,1,"Healthcare expertise, HIPAA compliance","Proactive capacity planning, executive engagement",68,25,Daily,High,13,13,Poor,95,3,None,False,7030481,2024-01-28,2024-01-28,,,Clear strategy,,Recovery playbooks executed,Potential $400K expansion in Q2 2025,CloudScale Dynamics - Expansion Play. 42.4% ARR change.,True,Proactive Expansion Success
17003,17,DataForge Systems,Expansion Play,Retail,Retail - Research,Enterprise,Medium (100-500 employees),268720685,1495,5127655,7124481,1996826,38.9,1,1996826,1996826,0,21373443,2024-01-07,2025-01-06,12,98,Enterprise Agreement,Annual,Annual,62,Stable,Healthy Stable,8,Stable,7.4,High,Very Strong,Dr. Williams (Manager Operations),46,Low,Sarah Chen,Michael Chen,David Kumar,CRO,None,Monthly,1,2024-12-15,,256,382,NVIDIA A100,US-East (Virginia),1,65.4,Stable High,"Financial Modeling, Risk Analysis",High-Frequency Trading Models,High,P003,DataCenter Pros,Tier 2,8.1,Poor,Low,strategic_expansion,At Risk,Early,Failed Adoption,22,28,77,95,1,70,7,0,0,19,0,3.2,High,20,Medium,79,Low,AWS (dormant),Low,Low,False,False,False,False,True,True,True,On-premises,1,2,,Financial services expertise,27,32,Weekly,High,7,13,Excellent,94,21,Medium,False,8612615,2024-01-07,2024-01-07,,,Strong technical team,No executive sponsor,Proactive expansion planning,$3M Phase 3 expansion budgeted,DataForge Systems - Expansion Play. 38.9% ARR change.,False,Steady Growth
17004,17,NeuralNet Industries,Expansion Play,Biotechnology,Biotechnology - Development,Enterprise,Small (50-100 employees),216479990,1801,4451866,6342139,1890273,42.5,1,1890273,1890273,0,19026417,2024-01-25,2025-01-24,12,86,Enterprise Agreement,Annual,Annual,79,Declining,Recovery,9,Declining,8.1,Very High,Weak,Mr. Brown (VP IT),23,High,Sarah Chen,Michael Chen,David Kumar,VP Customer Success,Very High,Monthly,2,,2025-03-15,384,402,NVIDIA H100,US-West (California),1,58.9,Declining,"Autonomous Driving, Simulation",AI-Powered Medical Diagnostics,Very High,P002,CloudScale Partners,Tier 1,6.7,Poor,Medium,strategic_expansion,Rapid Expansion,Advanced,Struggling,17,21,85,61,7,90,4,0,3,0,0,16.9,Medium,8,High,82,High,AWS (dormant),Medium,Very Low,False,False,True,True,True,False,False,,3,1,"Healthcare expertise, HIPAA compliance",Financial services expertise,138,5,Monthly,Low,24,0,Excellent,95,10,None,False,0,2024-01-25,2024-01-25,,,Proactive engagement,No executive sponsor,Proactive expansion planning,$3M Phase 3 expansion budgeted,NeuralNet Industries - Expansion Play. 42.5% ARR change.,True,Proactive Expansion Success
17005,17,QuantumCloud Solutions,Rocket Ship,Biotechnology,Biotechnology - Development,Enterprise,Large (500+ employees),187489256,288,1958298,5630744,3672446,187.5,1,3672446,3672446,0,16892232,2024-01-06,2025-01-05,12,79,Enterprise Agreement,Annual,Annual,74,Improving,Excellent,7,Declining,9.2,Medium,Moderate,Mr. Smith (Manager IT),43,Low,David Park,Michael Chen,David Kumar,,None,Monthly,1,2024-12-15,,320,429,NVIDIA H100,US-West (Los Angeles),1,64.9,Declining,"Financial Modeling, Risk Analysis",Self-Driving Vehicle AI Training,Medium,P002,CloudScale Partners,Tier 1,8.2,Good,High,rapid_growth,At Risk,Intermediate,Failed Adoption,22,28,73,56,5,80,4,5,1,7,2,15.0,Low,51,High,17,Low,AWS,Critical,High,True,False,False,True,True,False,True,AWS,1,1,"Better performance, proactive support","Proactive capacity planning, executive engagement",52,8,Weekly,High,2,5,Good,93,5,None,False,10981360,2024-01-06,2024-01-06,,,Strong technical team,Moderate champion strength,Executive sponsorship,,QuantumCloud Solutions - Rocket Ship. 187.5% ARR change.,False,Rapid Growth Success
17006,17,SecureAI Labs,Rocket Ship,Biotechnology,Biotechnology - Development,Enterprise,Large (500+ employees),25003152,1134,5694162,12428293,6734131,118.3,1,6734131,6734131,0,37284879,2024-01-06,2025-01-05,12,63,Enterprise Agreement,Annual,Annual,62,Improving,Recovery,10,Stable,9.2,High,Moderate,Mr. Smith (Manager IT),32,High,Sarah Chen,Michael Chen,David Kumar,VP Engineering,None,Quarterly,0,2024-12-15,2025-03-15,256,371,NVIDIA A100,US-Central (Chicago),2,50.9,Recovering,"AI Training, LLM Fine-tuning",High-Frequency Trading Models,Medium,P003,DataCenter Pros,Tier 2,6.5,Excellent,Low,rapid_growth,Growth & Partnership,Intermediate,Full Production,19,34,90,82,10,87,10,5,3,8,1,13.6,Low,8,High,73,Medium,AWS (active discussions),High,Low,True,True,True,False,False,False,True,AWS,3,1,"Healthcare expertise, HIPAA compliance","Proactive capacity planning, executive engagement",188,42,Monthly,Very High,24,13,Good,98,1,Medium,True,14830543,2024-01-06,2024-01-06,,,Excellent partnership,Q2 health dip,Proactive expansion planning,Potential $400K expansion in Q2 2025,SecureAI Labs - Rocket Ship. 118.3% ARR change.,False,Recovery Success
17007,17,TechVantage Data,Expansion Play,AI/ML Research,AI/ML Research - Production,Mid-Market,Large (500+ employees),198345002,813,5819318,8090042,2270724,39.0,1,2270724,2270724,0,24270126,2024-01-06,2025-01-05,12,90,Standard Agreement,Annual,Annual,82,Improving,Healthy Stable,5,Improving,7.7,High,Weak,Dr. Jones (Manager Engineering),39,High,David Park,Michael Chen,David Kumar,CRO,High,Quarterly,2,2024-12-15,,384,441,NVIDIA A100,US-West (California),2,59.5,Recovering,"Autonomous Driving, Simulation",Large Language Model Research,Medium,P002,CloudScale Partners,Tier 1,6.2,Poor,Medium,strategic_expansion,At Risk,Intermediate,Full Production,11,25,71,86,6,73,5,5,0,6,0,9.0,High,60,Low,41,Low,AWS (dormant),High,Very Low,True,True,True,True,False,True,True,,0,1,"Lower latency, better performance",,107,40,Monthly,Very High,23,19,Excellent,95,7,None,False,5026756,2024-01-06,2024-01-06,,,Strong technical team,Moderate champion strength,Proactive expansion planning,,TechVantage Data - Expansion Play. 39.0% ARR change.,False,Steady Growth
17008,17,InnovateCompute Inc,Steady Performer,Autonomous Vehicles,Autonomous Vehicles - Production,Mid-Market,Small (50-100 employees),148618067,420,5451565,6054073,602508,11.1,1,602508,602508,0,18162219,2024-01-23,2025-01-22,12,68,Standard Agreement,Annual,Annual,86,Improving,At Risk,6,Stable,7.9,Medium,Weak,Dr. Johnson (VP IT),11,High,Marcus Johnson,Michael Chen,David Kumar,CRO,High,Monthly,4,2024-12-15,2025-03-15,128,136,NVIDIA H100,US-East (New York),2,74.8,Declining,"Financial Modeling, Risk Analysis",Large Language Model Research,Very High,P002,CloudScale Partners,Tier 1,7.6,Excellent,Medium,stable,At Risk,Advanced,Struggling,20,19,91,93,10,95,4,5,0,13,2,4.1,Very Low,20,None,26,Low,AWS (dormant),Medium,Low,False,False,True,True,False,True,False,On-premises,5,0,"Lower latency, better performance",Financial services expertise,115,24,Weekly,Low,20,10,Poor,97,1,Medium,False,0,2024-01-23,2024-01-23,,,Clear strategy,,Executive sponsorship,,InnovateCompute Inc - Steady Performer. 11.1% ARR change.,True,Steady Growth
17009,17,SmartData Enterprises,Steady Performer,Financial Services,Financial Services - Production,Enterprise,Medium (100-500 employees),177501965,907,5329881,5961038,631157,11.8,1,631157,631157,0,17883114,2024-01-24,2025-01-23,12,86,Enterprise Agreement,Annual,Annual,59,Declining,Healthy Stable,7,Declining,7.7,High,Strong,Dr. Smith (Director IT),34,Medium,Sarah Chen,Michael Chen,David Kumar,CRO,None,Monthly,1,2024-12-15,2025-03-15,64,80,NVIDIA H100,US-East (Virginia),1,70.7,Recovering,"Autonomous Driving, Simulation",Large Language Model Research,High,P004,Quantum Resellers,Tier 2,9.5,Poor,High,stable,Growth & Partnership,Advanced,Production,22,28,78,69,5,75,3,3,1,2,2,15.3,Very Low,55,Medium,27,Medium,,Critical,Medium,False,True,True,False,True,False,False,,0,0,"Healthcare expertise, HIPAA compliance",,179,26,Weekly,Low,16,10,Excellent,92,0,None,False,0,2024-01-24,2024-01-24,,,Clear strategy,Moderate champion strength,Executive sponsorship,,SmartData Enterprises - Steady Performer. 11.8% ARR change.,False,Recovery Success
17010,17,FutureCompute Systems,Strategic Expansion,Manufacturing/Robotics,Manufacturing/Robotics - Production,Mid-Market,Medium (100-500 employees),194305008,563,4697140,7649322,2952182,62.9,1,2952182,2952182,0,22947966,2024-01-05,2025-01-04,12,62,Standard Agreement,Annual,Annual,96,Declining,Excellent,6,Improving,8.3,Medium,Moderate,Dr. Johnson (Manager Engineering),47,Medium,Marcus Johnson,Michael Chen,David Kumar,,None,Monthly,4,,2025-03-15,320,443,NVIDIA H100,US-West (Oregon),2,60.2,Stable,"AI Training, LLM Fine-tuning",Large Language Model Research,Medium,P001,TechSolutions Inc,Strategic,6.4,Excellent,Very High,strategic_expansion,At Risk,Early,Failed Adoption,18,35,76,67,1,93,6,2,1,14,2,16.7,High,60,Medium,76,Medium,AWS,Low,Medium,False,False,True,True,False,False,True,AWS,2,2,,Financial services expertise,60,30,Weekly,Very High,9,7,Excellent,97,2,Low,True,0,2024-01-05,2024-01-05,,,Proactive engagement,,Recovery playbooks executed,Potential $400K expansion in Q2 2025,FutureCompute Systems - Strategic Expansion. 62.9% ARR change.,False,Rapid Growth Success
