account_id,event_date,event_type,title,participants,outcome,sentiment,notes
445001,2026-01-28,health_check,System Health Assessment — Zermatt Analytics,"Lena Hofmann, Marco Bianchi",risk_identified,neutral,System health assessment completed. Key metrics reviewed with recommendations.
445001,2026-02-05,expansion_discussion,Capacity Planning & Expansion — Zermatt Analytics,"Stefan Keller, Lena Hofmann",follow_up_needed,negative,Capacity planning discussion. Growth projections and expansion options reviewed.
445001,2026-02-14,incident_review,Post-Incident Review — Zermatt Analytics,"Lena Hofmann, Stefan Keller, Marco Bianchi",escalated,neutral,Post-incident review: root cause analysis and prevention measures discussed.
445001,2026-02-23,roadmap_session,Product Roadmap Preview — Zermatt Analytics,"Marco Bianchi, Lena Hofmann, Stefan Keller",action_items_assigned,negative,Product roadmap preview with feedback collection on upcoming features.
445001,2026-03-04,technical_review,Technical Architecture Review — Zermatt Analytics,"Lena Hofmann, Stefan Keller, Marco Bianchi",partially_resolved,negative,Technical deep-dive on infrastructure performance and optimization opportunities.
445001,2026-03-13,qbr,Quarterly Business Review — Zermatt Analytics,"Lena Hofmann, Stefan Keller",follow_up_needed,neutral,"Quarterly review covered health metrics, roadmap alignment, and renewal timeline for Zermatt Analytics."
445001,2026-03-22,executive_briefing,Executive Sponsor Check-in — Zermatt Analytics,"Marco Bianchi, Lena Hofmann",action_items_assigned,neutral,Executive sponsor briefed on account status and strategic priorities.
445001,2026-03-31,training,Platform Training Session — Zermatt Analytics,"Marco Bianchi, Stefan Keller",follow_up_needed,negative,Hands-on training session on new platform features and best practices.
445001,2026-02-12,executive_briefing,Emergency Executive Review — Zermatt Analytics,"Lena Hofmann, Stefan Keller, Marco Bianchi",risk_mitigation_discussed,positive,Recovery intervention: emergency executive review for Zermatt Analytics.
445001,2026-02-28,health_check,Intervention Health Assessment — Zermatt Analytics,"Stefan Keller, Lena Hofmann, Marco Bianchi",improvement_noted,positive,Recovery intervention: intervention health assessment for Zermatt Analytics.
445001,2026-03-15,technical_review,Remediation Progress Review — Zermatt Analytics,"Stefan Keller, Lena Hofmann, Marco Bianchi",action_items_assigned,positive,Recovery intervention: remediation progress review for Zermatt Analytics.
445002,2026-01-28,training,Platform Training Session — Eiger Cloud Services,"Thomas Brunner, Anna Weber",follow_up_needed,negative,Hands-on training session on new platform features and best practices.
445002,2026-02-03,incident_review,Post-Incident Review — Eiger Cloud Services,"Anna Weber, Thomas Brunner",escalated,negative,Post-incident review: root cause analysis and prevention measures discussed.
445002,2026-02-10,qbr,Quarterly Business Review — Eiger Cloud Services,"Thomas Brunner, Anna Weber",action_items_assigned,negative,"Quarterly review covered health metrics, roadmap alignment, and renewal timeline for Eiger Cloud Services."
445002,2026-02-17,technical_review,Technical Architecture Review — Eiger Cloud Services,"Anna Weber, Thomas Brunner",escalated,neutral,Technical deep-dive on infrastructure performance and optimization opportunities.
445002,2026-02-24,roadmap_session,Product Roadmap Preview — Eiger Cloud Services,"Thomas Brunner, Anna Weber",action_items_assigned,neutral,Product roadmap preview with feedback collection on upcoming features.
445002,2026-03-03,expansion_discussion,Capacity Planning & Expansion — Eiger Cloud Services,"Thomas Brunner, Anna Weber",action_items_assigned,neutral,Capacity planning discussion. Growth projections and expansion options reviewed.
445002,2026-03-10,executive_briefing,Executive Sponsor Check-in — Eiger Cloud Services,"Anna Weber, Thomas Brunner",partially_resolved,neutral,Executive sponsor briefed on account status and strategic priorities.
445002,2026-03-17,health_check,System Health Assessment — Eiger Cloud Services,"Thomas Brunner, Anna Weber",risk_identified,neutral,System health assessment completed. Key metrics reviewed with recommendations.
445002,2026-03-24,training,Platform Training Session — Eiger Cloud Services,"Anna Weber, Thomas Brunner",escalated,neutral,Hands-on training session on new platform features and best practices.
445002,2026-03-31,incident_review,Post-Incident Review — Eiger Cloud Services,"Anna Weber, Thomas Brunner",risk_identified,neutral,Post-incident review: root cause analysis and prevention measures discussed.
445002,2026-02-12,executive_briefing,Emergency Executive Review — Eiger Cloud Services,"Thomas Brunner, Anna Weber",risk_mitigation_discussed,positive,Recovery intervention: emergency executive review for Eiger Cloud Services.
445002,2026-02-28,health_check,Intervention Health Assessment — Eiger Cloud Services,"Anna Weber, Thomas Brunner",improvement_noted,positive,Recovery intervention: intervention health assessment for Eiger Cloud Services.
445002,2026-03-15,technical_review,Remediation Progress Review — Eiger Cloud Services,"Thomas Brunner, Anna Weber",action_items_assigned,positive,Recovery intervention: remediation progress review for Eiger Cloud Services.
445003,2026-01-28,roadmap_session,Product Roadmap Preview — Jungfrau Fintech,"Claire Dupont, Jean-Pierre Martin",risk_identified,negative,Product roadmap preview with feedback collection on upcoming features.
445003,2026-02-03,expansion_discussion,Capacity Planning & Expansion — Jungfrau Fintech,"Jean-Pierre Martin, Claire Dupont",follow_up_needed,neutral,Capacity planning discussion. Growth projections and expansion options reviewed.
