account_id,decision_id,decision_date,title,decision_maker_role,chosen_option,options_considered,revenue_impact,risk_level,evidence_refs,outcome_description,confidence
291001,d1_exec_introduction,2025-10-08,Request Executive Introduction Meeting,CRO (Our Exec Sponsor),CRO leverages board connection to secure warm introduction meeting within 2 weeks,"[""Wait for new CTO to settle in and reach out organically -- standard 90-day courtesy"", ""CRO leverages board connection to secure warm introduction meeting within 2 weeks"", ""CSM sends cold outreach email to new CTO requesting introductory call""]",10733280.0,low,"[""P5-KPI8 dropped from 82 to 0 (champion engagement -- executive sponsor departed)"", ""P4-KPI3 QBR cancelled (0 of 4 annual target)"", ""P5-KPI5 budget signals frozen (new CTO initiated vendor review)"", ""P5-KPI7 expansion probability collapsed from 58% to 8%"", ""New CTO background: 15 years at hyperscale cloud providers""]",CRO's warm introduction bypassed the typical 90-day waiting period. Meeting secured within 2 weeks vs. estimated 12+ weeks for organic outreach. Platform's stakeholder intelligence profile on new CTO enabled targeted hybrid positioning.,0.95
291001,d2_hybrid_assessment,2025-11-20,Propose Hybrid Architecture Assessment,CRO (Our Exec Sponsor),"Propose 6-week hybrid assessment: benchmark on-prem vs. cloud on customer's actual workloads, present TCO and latency data","[""Defend on-prem only -- argue against cloud entirely (alienates cloud-first CTO)"", ""Propose 6-week hybrid assessment: benchmark on-prem vs. cloud on customer's actual workloads, present TCO and latency data"", ""Offer steep discount to retain current footprint without addressing cloud concerns""]",10733280.0,low,"[""New CTO stated interest in 'proving hybrid value' during introduction meeting"", ""P3-KPI1 GPU utilization at 68% -- workloads still running but team hesitant to expand"", ""Internal benchmarks show 40% latency advantage for inference workloads on-prem"", ""CFO waiting for TCO analysis before unfreezing infrastructure budget""]","Hybrid positioning met the new CTO where he was -- acknowledging cloud benefits while proving on-prem value for specific workloads. Assessment data (40% lower latency, 35% lower TCO) convinced both CTO and CFO. Positioned us as strategic partner rather than legacy vendor.",0.78
291001,d3_strategic_partnership,2026-01-28,New CTO Signs Strategic Partnership,New CTO,Sign 2-year strategic partnership for hybrid infrastructure: retain on-prem GPU + add cloud burst + $2M expansion pipeline,"[""Proceed with cloud migration -- phase out on-prem GPU infrastructure over 12 months"", ""Sign 2-year strategic partnership for hybrid infrastructure: retain on-prem GPU + add cloud burst + $2M expansion pipeline"", ""Maintain status quo with 1-year renewal -- defer hybrid decision""]",15969026.34,low,"[""Hybrid assessment proved 40% latency advantage and 35% TCO advantage at scale"", ""VP Engineering advocating internally for hybrid approach"", ""CFO approved budget unfreeze based on TCO data"", ""P5-KPI7 recovering from 8% to 52% (expansion probability)"", ""P5-KPI8 rebuilt from 0 to 72 (new CTO champion engagement)""]","New CTO signed 2-year strategic partnership, committing to hybrid-first infrastructure. $4.1M ARR retained plus $2M hybrid expansion pipeline. Relationship proved resilient -- CTO converted from skeptic to advocate in 18 weeks.",0.77
291002,d1_escalate_competitive_threat,2025-09-23,Escalate competitive threat to VP Sales with full signal dossier,champion,Escalate to VP Sales with compiled competitive intelligence dossier and recommended defense playbook,"[""Continue monitoring without executive escalation; CSM handles relationship at working level"", ""Escalate to VP Sales with compiled competitive intelligence dossier and recommended defense playbook"", ""Immediately offer preemptive discount to match competitor pricing""]",888224.7,medium,"[""CTO LinkedIn competitor engagement (w7)"", ""Competitor AE pricing proposal (w9)"", ""VP Engineering champion alert (w11)"", ""Budget conversations going dark (w13)"", ""NPS 22-point CTO confidence drop (w19)""]","Escalation to VP Sales triggered executive-to-executive engagement strategy, preventing reactive discounting and enabling value-based defense",0.76
291002,d2_deploy_value_report_cfo,2025-12-01,Deploy value-realization report for CFO with TCO defense,exec_sponsor,"Deploy comprehensive value-realization report to CFO showing $2.1M realized value, $1.8M switching costs, and 18-month TCO advantage","[""Let CTO evaluation proceed without CFO engagement; risk pure price comparison"", ""Deploy comprehensive value-realization report to CFO showing $2.1M realized value, $1.8M switching costs, and 18-month TCO advantage"", ""Offer modest retention discount (5%) without value justification""]",2664674.1,low,"[""GPU utilization data showing 72% avg (value proof)"", ""99.7% uptime over 18 months (reliability proof)"", ""Training job completion 94% (operational proof)"", ""Switching cost analysis: $1.8M migration + 6-month productivity loss"", ""Competitor benchmark counter: 23% distributed training advantage""]",CFO concluded that competitor's 30% price advantage was offset by $1.8M switching costs and proven operational value; shifted evaluation criteria from price to total value,0.78
291002,d3_negotiate_multiyear_retention,2026-01-08,Negotiate multi-year retention agreement with investment incentives,exec_sponsor,"3-year retention agreement with 8% volume discount, technology refresh guarantee, and co-innovation partnership","[""Standard 1-year renewal at current pricing"", ""3-year retention agreement with 8% volume discount, technology refresh guarantee, and co-innovation partnership"", ""2-year agreement with 15% discount to firmly close competitor option""]",8882247.0,low,"[""CFO TCO analysis acceptance (w26)"", ""CTO-to-CTO co-innovation roadmap alignment (w29)"", ""VP Engineering champion endorsement"", ""Counter-benchmark technical validation"", ""Expansion probability recovered to 68% pre-signing""]",3-year multi-year agreement secured $3.8M ARR with path to expansion. 8% volume discount ($304K/yr) is significantly less margin impact than the $570K replacement cost of losing the account entirely.,0.94
291003,d1_escalate_competitive_threat,2025-09-22,Escalate competitive threat to VP Sales with full signal dossier,champion,Escalate to VP Sales with compiled competitive intelligence dossier and recommended defense playbook,"[""Continue monitoring without executive escalation; CSM handles relationship at working level"", ""Escalate to VP Sales with compiled competitive intelligence dossier and recommended defense playbook"", ""Immediately offer preemptive discount to match competitor pricing""]",865912.7,medium,"[""CTO LinkedIn competitor engagement (w7)"", ""Competitor AE pricing proposal (w9)"", ""VP Engineering champion alert (w11)"", ""Budget conversations going dark (w13)"", ""NPS 22-point CTO confidence drop (w19)""]","Escalation to VP Sales triggered executive-to-executive engagement strategy, preventing reactive discounting and enabling value-based defense",0.75
291003,d2_deploy_value_report_cfo,2025-12-03,Deploy value-realization report for CFO with TCO defense,exec_sponsor,"Deploy comprehensive value-realization report to CFO showing $2.1M realized value, $1.8M switching costs, and 18-month TCO advantage","[""Let CTO evaluation proceed without CFO engagement; risk pure price comparison"", ""Deploy comprehensive value-realization report to CFO showing $2.1M realized value, $1.8M switching costs, and 18-month TCO advantage"", ""Offer modest retention discount (5%) without value justification""]",2597738.1,low,"[""GPU utilization data showing 72% avg (value proof)"", ""99.7% uptime over 18 months (reliability proof)"", ""Training job completion 94% (operational proof)"", ""Switching cost analysis: $1.8M migration + 6-month productivity loss"", ""Competitor benchmark counter: 23% distributed training advantage""]",CFO concluded that competitor's 30% price advantage was offset by $1.8M switching costs and proven operational value; shifted evaluation criteria from price to total value,0.77
291003,d3_negotiate_multiyear_retention,2026-01-08,Negotiate multi-year retention agreement with investment incentives,exec_sponsor,"3-year retention agreement with 8% volume discount, technology refresh guarantee, and co-innovation partnership","[""Standard 1-year renewal at current pricing"", ""3-year retention agreement with 8% volume discount, technology refresh guarantee, and co-innovation partnership"", ""2-year agreement with 15% discount to firmly close competitor option""]",8659127.0,low,"[""CFO TCO analysis acceptance (w26)"", ""CTO-to-CTO co-innovation roadmap alignment (w29)"", ""VP Engineering champion endorsement"", ""Counter-benchmark technical validation"", ""Expansion probability recovered to 68% pre-signing""]",3-year multi-year agreement secured $3.8M ARR with path to expansion. 8% volume discount ($304K/yr) is significantly less margin impact than the $570K replacement cost of losing the account entirely.,0.94
291004,d_approve_capacity_analysis,2025-08-14,Approve Capacity Planning Analysis,champion,Commission full seasonal demand analysis and capacity planning workshop ($10.5K CSM + solutions architect time),"[""Commission full seasonal demand analysis and capacity planning workshop ($10.5K CSM + solutions architect time)"", ""Defer analysis to Q3 and rely on reactive scaling if needed"", ""Run lightweight analysis with existing data only, skip joint workshop""]",4837698.86,low,"[""3-year seasonal pattern showing 38% Q4 compute surge"", ""P5-KPI7 Expansion Probability at 52%"", ""VP Data Science confirms additional 15% demand from new workloads"", ""P5-KPI1 Capacity Utilization will exceed 100% without expansion""]","Full capacity analysis identified exact hardware requirements and procurement timeline, enabling the CFO budget request. Without this analysis, the expansion would have been reactive and 50% more expensive.",0.85
